question,answer
"What is DTS?","Digital Tax Stamps are markings with security features and codes applied to gazetted goods/packaging so URA can track and trace production/imports and combat counterfeits." 
"What is the Digital Tracking Solution?","A track-and-trace platform that sends production/importation data for specified products to URA and UNBS in real time; it pairs tax stamps (URA) with conformity stamps (UNBS)." 
"Who must use DTS?","Manufacturers and importers of gazetted excisable products (e.g., spirits, wines, other specified goods) must affix and activate digital tax stamps per URA requirements." 
"How do I register for DTS?","On the URA portal go to e-Services → Digital Tracking Solution → register as importer or manufacturer, then forecast/order stamp quantities and pay the stamp fees." 
"How do I get and affix stamps?","After payment, collect stamps from SICPA Uganda (Henley Business Park, Ntinda) for manual/paper stamping, or receive codes directly to your automated DTS line; authorized staff must present ID and company letter/stamp on pickup." 
"Can importers stamp abroad?","Yes. Importers may stamp at origin or manually at their registered premises in Uganda." 
"Do exports need DTS stamps?","No. Gazetted products for export are exempt from DTS stamping but must carry export evidence (counting, marking for export, certified customs export documents) and must not be sold locally." 
"What are setup requirements for automated manufacturers?","Register for DTS, provide space/power/network for DTS equipment, stamp applicator (for spirits/wines), ejection system, secure server room, broadband with dedicated IP, cabling, and secure storage for spares/consumables." 
"What are requirements for manual producers/importers?","Register for DTS and provide labor to manually affix stamps; ensure stamps are activated after affixing." 
"What are the benefits of DTS?","Track-and-trace through the supply chain, quick reports, improved records, easier VAT refunds/return filing, faster customs clearance for importers, reduced smuggling/counterfeit risk, fair competition, and consumer protection." 
"What are the penalties for non-compliance?","Failure to affix/activate stamps: penal tax = double tax due or UGX 50m (higher). Defacing/printing over a stamp: double tax due or UGX 20m. Possession of unstamped gazetted goods: double tax due or UGX 50m. Unauthorized dealing in stamps: double tax due or UGX 10m." 
"What are key roles for stakeholders?","Manufacturers/importers: install/use DTS on excisable goods. Distributors/stockists: handle only stamped gazetted products. Consumers: buy/consume only stamped goods." 
"Who can help with DTS issues?","URA support: toll-free 0800 117 000 / 0800 217 000 or WhatsApp 0772 140 000."
