question,answer
"What is withholding tax exemption?","It is approval to stop deducting/withholding income tax at source for a qualifying taxpayer or transaction as allowed by URA." 
"Who can apply for withholding tax exemption?","Taxpayers with a valid TIN who meet exemption conditions (e.g., listed in WHT exemption categories) can apply through their URA portal account." 
"How do I apply for a WHT exemption?","Log in to the URA web portal with your TIN and password → e-Services → e-Registration → Tax Exemption Application → complete the form and submit." 
"Which credentials do I need to apply?","Your active TIN credentials (username/password) to access the URA portal and file the e-Registration Tax Exemption Application." 
"How do I download my exemption certificate?","Log in to the URA portal → e-Services → Taxpayer Profile → choose Print Tax/Exemption Certificate (PDF download)." 
"Where do I track my exemption application status?","Use Track Application Status on the URA portal after submitting the exemption application." 
"What if I cannot access the portal or my exemption certificate?","Confirm your TIN login details, retry via a stable connection, then contact URA support if the certificate or status does not load." 
"Who can help with exemption questions?","URA support: toll-free 0800 117 000 / 0800 217 000 or WhatsApp 0772 140 000."
"Are there tax incentives or exemptions for commercial agro-processing plants exporting finished goods?","Yes. Under Section 21 of the Income Tax Act, a 10-year income tax exemption is granted to a person who invests in agro-processing and exports at least eighty percent (80%) of finished consumer and capital goods manufactured from local raw materials. Such exporters also qualify for VAT zero-rating (0%) on exports and duty exemptions on imported factory machinery under the EAC Common External Tariff."
"What minimum investment capital is required for a local investor to qualify for that 10-year income tax holiday?","Under Section 21(1)(y) of the Income Tax Act, a local citizen investor must have a minimum investment capital threshold of at least United States Dollars Five Million (USD 5,000,000) or its equivalent in Uganda Shillings (or USD 10,000,000 for a foreign non-citizen investor) to qualify for the 10-year income tax holiday on manufacturing/agro-processing and exporting at least 80% of finished goods."
"We are setting up a commercial fruit processing plant in Soroti exporting 85% of our canned juice. Are there tax incentives?","Yes. Under Section 21 of the Income Tax Act, a 10-year income tax holiday is granted to an investor who invests in agro-processing and exports at least eighty percent (80%) of finished consumer and capital goods manufactured from local raw materials. Since you export 85% of your canned juice (which exceeds the 80% threshold), your plant qualifies for the 10-year tax holiday, VAT zero-rating (0%) on exports, and import duty exemption on imported factory machinery under the EAC Common External Tariff."
"What are the main tax incentives and exemptions available in Uganda?","Under the Income Tax Act (Section 21) and the EAC Customs Management Act, key tax incentives include: 1) 10-year income tax holidays for strategic investments in Free Zones, Industrial Parks, or agro-processing exporting 80%+ of finished goods; 2) Exemption from 6% Withholding Tax on supplies for compliant taxpayers; 3) 0% import duty and VAT exemptions on imported plant, machinery, and specialized industrial equipment; 4) 50% accelerated capital depreciation allowance in Kampala and 100% outside Kampala; 5) VAT zero-rating on all exported goods and services."
"How do I apply for a Withholding Tax (WHT) Exemption on the URA portal?","To apply for WHT exemption: 1) Log in to portal.ura.go.ug with your 10-digit active TIN and password; 2) Navigate to e-Services > Tax Incentives > WHT Exemption (or e-Registration > Tax Exemption Application); 3) Ensure you have an unblemished 3-year compliance history of filing returns and paying taxes with no outstanding ledger arrears; 4) Upload audited financial accounts and complete the online form; 5) Upon approval, download your WHT Exemption Certificate valid for the current fiscal year (July 1 to June 30)."
"What is the URA Investors Guide and what are the investment thresholds?","The URA Investors Guide outlines statutory criteria for investment incentives in Uganda: 1) Capital investment minimum: USD 10 million for foreign non-citizen investors, and USD 1 million for Ugandan and East African Community (EAC) citizens (or USD 5 million for designated agro-processors); 2) Operational thresholds: Employ at least 100 Ugandan citizens (or 70% of total staff) and source at least 50% of raw materials locally; 3) Investors in Industrial Parks (such as Namanve, Mbale, Soroti, Kapeeka) or Free Zones access duty-free raw materials and a 10-year income tax holiday."
"Which institutions qualify for Income Tax Exemption under Section 21 of the Income Tax Act?","Under Section 21 ITA, exempt institutions include: 1) Registered religious, charitable, or educational institutions of a public character; 2) Collective investment schemes; 3) Amateur sporting associations; 4) Qualifying agro-processing manufacturers and Free Zone operators. To obtain an exemption ruling, entities apply via portal.ura.go.ug > e-Services > Tax Incentives > Income Tax Exemption with governing trust deeds/constitutions and 3 years of audited financial statements proving public benefit expenditure."
"How do I get an import or export tax exemption on factory machinery and equipment?","To apply for customs duty and VAT exemptions on imported machinery: 1) Log in to portal.ura.go.ug or Asycuda World > e-Services > Tax Incentives > Import or Export Tax Exemption; 2) Provide Asycuda Customs Entry Number; 3) Select exemption regime under EACCMA Fifth Schedule (plant and machinery for manufacturing, mining, solar equipment, agricultural inputs); 4) Attach Commercial Invoice, Bill of Lading, packing list, and sector ministry recommendation; 5) Customs applies statutory exemption code releasing cargo duty-free."
"How do I track the status of my tax incentive or exemption application?","To track an exemption application: 1) Visit portal.ura.go.ug > e-Services > Tax Incentives > Track Application Status; 2) Enter your 10-digit TIN and the Exemption Application Search Number / Reference Number; 3) Enter security CAPTCHA and click Track Status; 4) The system displays progress: Application Lodged → Tax Ledger Audit → Compliance Review → Approved / Certificate Issued. Approved applicants download their electronic certificate directly."
"What is Withholding Tax and what are the key statutory rates in Uganda?","Withholding Tax (WHT) is an advance tax deducted at source: 1) 6% on goods and services supplies exceeding UGX 1,000,000 to designated agents; 2) 6% on professional, management, and consultancy fees; 3) 15% on dividends and interest paid to residents (10% on listed dividends); 4) 15% on non-resident service contracts; 5) 6% WHT on customs imports. WHT must be remitted by the 15th of the following month using Form DT-1013."
"Where do I find the official Withholding Tax Exemption List?","To verify if a vendor or contractor is exempt from 6% WHT, visit portal.ura.go.ug > e-Services > Tax Incentives > Withholding Tax Exemption List. Search by company legal name or 10-digit TIN to confirm active exemption status. If a supplier is not listed on this official public gazette, procuring entities are legally obligated to deduct 6% WHT on payments exceeding UGX 1,000,000."
"Where can I find the VAT Withholding Agent List on the URA portal?","The VAT Withholding Agent List is accessible under portal.ura.go.ug > e-Services > Tax Incentives > VAT Withholding Agent List. Designated agents appointed by the Minister under Section 5(2) VAT Act (including Government MDAs, large corporations, and NGOs) must withhold 6% (or standard 18% where gazetted) of taxable value from supplier invoices and remit it to URA via Form DT-1014 by the 15th of the following month."
"What is the Designated Income Tax WHT Agents List for FY 2024/25?","The Designated Income Tax WHT Agents List for FY 2024/25 is the official gazetted directory of public institutions, private corporations, and NGOs authorized under Section 119 ITA to withhold 6% income tax at source on all supplier payments exceeding UGX 1,000,000. View and download the full schedule at portal.ura.go.ug > e-Services > Tax Incentives > Designated Income Tax WHT Agents For FY 2024/25."
"Where is the list of Non-Resident providers of digital services registered with URA?","The official public directory of non-resident tech platforms registered under Section 86A ITA for Uganda Digital Services Tax is available at portal.ura.go.ug > e-Services > Tax Incentives > List of Non-Resident providers of digital services registered with URA. It lists multinational tech providers (including Google, Meta, Netflix, Apple, Uber, Zoom) that file and pay 5% DST on digital revenue earned from Ugandan consumers."
