question,answer
"Who must register for Income Tax and get a TIN?","Any person earning taxable income (individuals, companies, NGOs, partnerships) must register; individuals use NIN with ID documents, non-individuals need incorporation/registration documents and director TINs." 
"When is VAT registration compulsory?","When taxable turnover exceeds UGX 37.5m in any 3 consecutive months (UGX 150m annual). Apply within 20 days after the three-month period or at the start if future turnover will exceed the threshold." 
"Can a business register for VAT voluntarily?","Yes, below the threshold if it has a fixed place of business, proper books, can file reliably, and is fit-and-proper; public bodies doing business must register when they start." 
"What are key VAT obligations after registration?","Issue e-invoices, charge 18% on standard-rated supplies (0% for zero-rated, none on exempt), keep records, and file/pay monthly VAT returns within 15 days after month-end." 
"How is VAT input tax credited?","Keep original tax invoices (or certified copies) for local purchases and customs documents for imports; claims allowed within 6 months of invoice; only for business use and to support taxable supplies; cash refund only if credit exceeds UGX 10m, else carried forward." 
"What is Digital Service Tax?","A 5% tax on gross earnings of non-resident persons providing digital services to customers in Uganda." 
"Who must affix Digital Tax Stamps?","Manufacturers/importers of gazetted excisable goods (e.g., alcohol, tobacco, water, soda, sugar, cement, cooking oil, juices) must affix stamps before goods enter the market." 
"What is the presumptive (small business) regime?","Resident businesses with annual turnover above UGX 10m and not exceeding UGX 150m (excluding listed professional/utility/entertainment/construction services) pay presumptive tax based on gross turnover instead of formal accounts." 
"How is presumptive tax computed?","With records: 0.4% of turnover above UGX 10m up to 30m; 0.5% above 30m up to 50m; 0.6% above 50m up to 80m; 0.7% above 80m up to 150m. Without records: fixed UGX 80k (10–30m), 200k (30–50m), 400k (50–80m), 900k (80–150m). No expense deductions; tax is final." 
"What is the corporation tax rate?","30% of chargeable income on resident companies’ worldwide income and non-resident companies’ Ugandan-source income." 
"How is rental income taxed?","Individuals: first UGX 2,820,000 exempt, remainder taxed at 12% with no deductions; non-resident individuals 15% on gross. Companies/non-individuals: 30% on chargeable rental income with allowable expenses capped at 50% of gross rental income." 
"What are PAYE rates for resident employees?","Monthly brackets: up to 235,000 nil; 235,000–335,000 at 10% of excess over 235,000; 335,000–410,000 at 10,000 + 20% of excess over 335,000; above 410,000 at 25,000 + 30% of excess over 410,000 plus an additional 10% on income above 10,000,000." 
"What are PAYE rates for non-resident employees?","Up to 335,000 taxed at 10%; 335,000–410,000 at 33,500 + 20% of excess over 335,000; above 410,000 at 48,500 + 30% of excess over 410,000 plus an additional 10% on income above 10,000,000." 
"What are employer obligations for PAYE?","Withhold correctly from liable employees, remit PAYE by the 15th of the following month, account monthly, and keep payroll records for 5 years; failure makes employer personally liable plus interest/penalties." 
"What withholding tax (WHT) rates apply to common payments?","6% on resident payments for goods/services over UGX 1m by designated agents; 6% on resident management/professional fees; 15% on payments to non-resident contractors, professionals, entertainers/sportspersons; 15% on dividends/interest/royalties to non-residents; 10% on dividends from listed companies to residents; 10% on commissions to insurance/advertising/telecom/payment agents; 15% on betting winnings." 
"When is WHT due and how is it credited?","Agents must remit WHT within 15 days after month-end (or before payee leaves Uganda); unless final, withheld tax is a credit against the payee’s income tax for that year." 
"How is import WHT applied?","6% on customs value for most imports unless the importer/supplier is exempt or has WHT relief; rates for customs duties and VAT still apply separately." 
"When is rental and income tax filing due?","Individuals: provisional rental return within 3 months from start of year (by 31 Sept), final within 6 months after year-end (by 31 Dec); companies: provisional within 6 months from start (by 31 Dec), final within 6 months after year-end." 
"What is the VAT registration penalty for late application?","Double the VAT due from the date registration should have occurred until actual registration." 
"How are NGOs and public bodies treated for VAT?","Public bodies engaging in business must register and charge VAT; supplies by employers to employees for no consideration are taxable at fair market value if the employer is a taxable person." 
