question,answer
"What is hosted under Laws, Acts and Regulations?","A catalog of URA-related laws, regulations, reports, and manuals (e.g., tax laws, EAC customs acts, duty remission rules, VAT and excise amendments, AML regulations, CET schedules)."
"How do I download a law or act?","Open the Laws, Acts and Regulations page, pick the title you need, and click the associated Download link in its row to fetch the file." 
"Can I sort or filter the list?","Yes. Use the Order By dropdown (Publish Date, Title, Update Date, Downloads, Views) and choose Ascending/Descending, then Apply Filter to reorder the list." 
"Do I need to log in to download files?","No login is required to download the listed laws and acts; the links are public." 
"What file formats should I expect?","Items are typically provided as PDFs or document attachments; each row shows the file count, and the Download link retrieves the document." 
"Are the Acts up to date?","The page includes recent amendments (e.g., VAT, Excise, Lotteries and Gaming, Traffic and Road Safety 2023, AML Regulations 2023). Always confirm the publication or update date in the document and cross-check with the latest Gazette if needed." 
"Where can I find regional customs references?","The listing includes the East African Community Customs Management Act, Rules of Origin, Duty Remission Regulations, and the Common External Tariff schedule." 
"Who can I contact if a link is broken?","Reach URA support via toll-free 0800 117 000 / 0800 217 000, WhatsApp 0772 140 000, or visit a URA office for assistance with access to legal documents."
"What is the Compendium for various Domestic Tax Laws?","The Compendium for various Domestic Tax Laws published by URA consolidates Uganda's primary domestic tax statutes: 1) Income Tax Act (Cap. 340); 2) Value Added Tax Act (Cap. 349); 3) Tax Procedures Code Act 2014; 4) Stamp Duty Act 2014; and 5) Excise Duty Act 2014. It incorporates annual Finance Act amendments, providing taxpayers and legal practitioners with a single unified reference for tax rates, withholding thresholds, returns filing deadlines, and procedural compliance."
"What is The East African Tax Law Report Volume IV?","The East African Tax Law Report Volume IV (published December 10, 2024) is an authoritative judicial compendium compiling landmark precedent tax rulings, appellate judgments, and Tax Appeals Tribunal decisions from Uganda and regional East African courts. It covers critical tax jurisprudence including permanent establishment disputes, corporate residency, cross-border management fee withholding, input tax deduction verification, and customs valuation rulings under WTO ACV."
"What is THE CONVENTION ON MUTUAL ADMINISTRATIVE ASSISTANCE IN TAX MATTERS (IMPLEMENTATION) ACT, 2023?","Enacted August 1, 2023 and updated May 5, 2025, this Act domesticates the OECD Multilateral Convention in Uganda across 11 statutory sections: Section 2 gives the Convention force of law; Section 3 & 4 implement Automatic Exchange of Financial Account Information (AEOI) and the Common Reporting Standard (CRS); Section 5 mandates financial institution due diligence; Section 6 establishes reporting obligations; Section 7 sets offences for non-reporting; and Section 8 empowers URA with anti-avoidance powers against artificial tax evasion arrangements."
"What is THE TAX APPEALS TRIBUNALS ACT and what is the 30% tax deposit rule?","The Tax Appeals Tribunals Act (Cap. 345) establishes the Tax Appeals Tribunal (TAT) as an independent specialized court to adjudicate tax disputes between taxpayers and URA. Key statutory rules: 1) Filing Deadline: Taxpayers must lodge applications for review within thirty (30) days from receiving an assessment or objection decision; 2) Section 15 Deposit Rule: Before an appeal can be entertained, the taxpayer must deposit thirty percent (30%) of the tax in dispute or the undisputed tax portion (whichever is greater) with URA; 3) Further Appeals: Appeals from TAT rulings on questions of law lie to the High Court of Uganda (Commercial Division) within 30 days."
"What is the PROCEDURE MANUAL FOR APPLICATION OF THE DUTY REMISSION REGULATIONS?","The Procedure Manual for Application of the Duty Remission Regulations is an East African Community publication setting operational guidelines under Section 140 EACCMA and the EAC Customs Duty Remission Regulations 2008. It defines the responsibilities of National and Regional Duty Remission Committees, criteria for vetting manufacturer applications for raw material duty relief, annual gazette quota publications, and post-import compliance audits."
"What is the COMMON EXTERNAL TARIFF 2022 VERSION and what are its tariff bands?","The EAC Common External Tariff (CET 2022 Version) establishes the harmonized regional customs tariff structure across all East African Community Partner States. It operates a 4-band ad valorem tariff structure: 1) Band 1 (0%): Capital machinery and raw materials; 2) Band 2 (10%): Intermediate goods; 3) Band 3 (25%): Finished consumer goods; 4) Band 4 (35%): Maximum tariff applied to sensitive, locally manufactured items (e.g. textiles, agricultural produce, furniture) to protect domestic EAC industries."
"What are the rules of origin under the EAC Customs Union Rules of Origin 2015 and COMESA Protocol?","Under the EAC Customs Union (Rules of Origin) Rules 2015 and the COMESA Protocol 2015, goods qualify for duty-free preferential cross-border trade if they meet: 1) Wholly Produced: Originating entirely within the region; 2) Substantial Transformation: Where imported non-originating materials undergo manufacturing resulting in a change in tariff heading; or 3) Value Added Threshold: The local/regional value addition accounts for at least 35% of the ex-factory cost of the finished product. Consignments must be accompanied by an authentic EAC or COMESA Certificate of Origin."
"What are the Anti-Money Laundering ACT 2013 and Amendment Regulations 2023?","The Anti-Money Laundering Act 2013 and the Anti-Money Laundering (Amendment) Regulations 2023 establish Uganda's anti-money laundering and counter-terrorist financing regime under the Financial Intelligence Authority (FIA). Key requirements: 1) Accountable persons (banks, forex bureaus, casinos, real estate agents, accountants, and advocates) must conduct Customer Due Diligence (CDD) and retain records for at least 10 years; 2) Mandatory reporting of Large Cash Transactions (CTRs exceeding USD 10,000 or UGX 20,000,000); 3) Mandatory filing of Suspicious Transaction Reports (STRs) to the FIA within 2 working days."
"What is The Free Zones Act 2014 and what tax incentives does it provide?","The Free Zones Act 2014 establishes the legal framework for Special Economic Zones and Export Processing Zones in Uganda administered by the Uganda Free Zones Authority (UFZA). Developers and operators in Free Zones enjoy: 1) 10-year income tax holiday on manufacturing profits; 2) 0% import duty and 0% VAT on imported capital plant, equipment, and raw materials; 3) Exemption from stamp duty on land leases; provided the enterprise exports at least eighty percent (80%) of its manufactured output outside the domestic customs territory."
"What are the key tax provisions under the URA Act (Cap. 196)?","The Uganda Revenue Authority Act (Cap. 196) is the founding charter of URA, establishing it as a corporate central revenue agency. Under the Act, URA is mandated to: 1) Administer, assess, collect, and enforce all specified tax and non-tax revenues of the Government; 2) Account for all revenues collected into the Consolidated Fund; 3) Advise the Minister of Finance on revenue policy and statutory amendments; and 4) Prevent tax evasion, smuggling, and illicit financial activities across Uganda."
"What is the Stamp Duty Act 2014 and what are its rates and key provisions?","Enacted in 2014 and updated on August 25, 2023, the Stamp Duty Act 2014 imposes stamp duty on instruments executed in Uganda. Key statutory rates: 1) Fixed duty of UGX 15,000 on agreements, affidavits, powers of attorney, and memoranda of association; 2) Ad valorem duty of 1% on the total value for transfers of land and property or transfer of shares; 3) Ad valorem duty of 1% on mortgages and debentures. Exemptions: Strategic investment projects exceeding USD 50 million for foreign investors or USD 10 million for domestic investors, and transfers between associated group companies. The full Act can be downloaded at https://ura.go.ug/storage/2023/08/Stamp-duty-Act-2014.pdf."
"What is the Excise Duty Act 2014 and what goods and services are excisable?","Enacted in 2014 and updated August 25, 2023, the Excise Duty Act 2014 governs excise duties on locally manufactured and imported goods and designated services. Key provisions: 1) Schedule 2 Excisable Goods: Beer, spirits, wine, soft drinks, bottled water, tobacco products, cement, and fuels (UGX 1,450 per litre for petrol, UGX 1,130 for diesel); 2) Excisable Services: 12% on telecommunications airtime and data services, and 0.5% on mobile money cash withdrawals; 3) Section 19B Digital Tax Stamps (DTS): Mandatory fiscal stamps with scannable QR codes affixed to specified products before market distribution; 4) Returns and Remittance: Monthly returns filed by the 15th day of the following month. Download the Act at https://ura.go.ug/storage/2023/08/The-Excise-Duty-Act-2014-.pdf."
