question,answer
"What are prohibited goods?","Prohibited goods are items whose importation or exportation is completely banned by any law in force in Uganda and the East African Community for reasons linked to public health, environmental safety, morality, or national security. Prohibited goods are subject to mandatory customs seizure and forfeiture, and the importer is liable upon conviction to imprisonment of up to 5 years, a fine of 50% of the commercial value of the goods, and the full costs of destruction."
"Which goods are prohibited from being imported into Uganda?","Prohibited goods include: 1) Used electronics (used laptops, computers, monitors, used TV sets, and used fridges under Finance Act 2009); 2) Counterfeit currency notes and coins; 3) Pornographic and indecent materials in all media; 4) White phosphorus matches; 5) All soaps and cosmetic products containing mercury or hydroquinone; 6) Used tyres for light commercial vehicles and passenger cars; 7) Banned agricultural and industrial chemicals (DDT, Aldrin, Dieldrin, Lindane, 2,4-T, Crocidolite, PCBs, PBBs); 8) Plastic carrier bags of less than 30 microns; 9) Worn second-hand underwear garments; and 10) Consumer Protection Regulations 2017 items (aerosols with benzene/CFCs, electric water heaters with bare elements, small fishing hooks, and unapproved second-hand vehicles)."
"What are restricted goods?","Restricted goods are items whose importation or exportation is prohibited unless specific statutory conditions or prior regulatory permits are fulfilled. Examples include: live animals and animal products (MAAIF permit), human medicines and pharmaceuticals (NDA verification), arms and ammunition (Ministry of Internal Affairs), minerals and precious metals, items related to protected wildlife (UWA), and unmanned aerial vehicles (drones requiring security clearance)."
"Are goods for personal use or gifts subject to taxes when a passenger arrives at Entebbe Airport?","Arriving passengers are granted duty exemption on accompanied baggage for personal use provided all the following conditions are met: 1) Total value does not exceed USD 500; 2) Goods are strictly for personal use and not for commercial resale; 3) Goods are not for distribution to other persons; 4) The passenger has been outside Uganda for more than 24 hours; and 5) The items are in the physical company of the arriving passenger. Any goods exceeding USD 500 or failing these conditions are liable to applicable import duties and VAT."
"Does a passenger arriving at Entebbe Airport need a TIN or customs clearing agent?","Clearance of passenger accompanied baggage valued up to USD 2,000 does NOT require a Taxpayer Identification Number (TIN) or the services of a customs clearing agent. However, if the goods in accompanied baggage exceed USD 2,000, or if they are imported on behalf of a registered company or organization, an active TIN and clearance through a licensed customs clearing agent are legally mandatory."
"Why are used computers and laptops prohibited in Uganda?","Used computers and laptops were prohibited under Section 2 of the Finance Act 2009 to protect Uganda's environment from becoming an electronic e-waste dumping ground. To encourage technological adoption without environmental hazards, the government eliminated import duty on brand-new computers and laptops (0% import duty). Importing used laptops attracts seizure, destruction, or re-export at the owner's cost, plus penalties."
"Why does URA charge taxes on goods purchased from duty-free shops upon arrival?","Goods sold in duty-free shops in departure lounges have not paid taxes in the country of purchase because they are intended for export. Taxes are legally due in the destination country where the goods will actually be consumed. If an arriving passenger's purchases from a duty-free shop exceed the USD 500 duty-free personal allowance, standard import duties and taxes must be assessed and paid."
"Why are drones (unmanned aerial vehicles) restricted in Uganda?","Importation of Unmanned Aerial Vehicles (drones) into Uganda is restricted on national security and public safety grounds. Importers must obtain prior security clearance and permits from Ugandan security agencies (Civil Aviation Authority, Ministry of Defence, and Police) before importing and operating a drone."
"What services are offered by the Transit Monitoring Unit (TMU) of URA?","The Transit Monitoring Unit (TMU) provides: 1) Trade facilitation (authorizing transshipments, issuing open-truck permits for exceptional loads, managing road accident/breakdown incidents, bond cancellation and validation, extending transit deadlines, rerouting consignments to new destination stations); 2) Anti-diversion controls (evidence-based validation at border exit points, reconciling transit entries, issuing transit advisories); and 3) Electronic cargo tracking (tracking transit cargo 24/7 under RECTS to prevent dumping and theft)."
"What is transit and what are the three categories of transit?","Transit is a customs procedure where foreign goods are moved under customs control through the territory of one or more EAC Partner States to a destination outside the state. The three categories are: 1) Through Transit: Foreign goods entering an EAC port destined for another foreign country; 2) Inward Transit: Goods landed at a customs border entry port destined for an inland customs port; 3) Outward Transit: Guaranteed export of goods from an inland customs station to a border exit port."
"What are the statutory rules for conveying goods in transit through Uganda?","Rules governing transit cargo include: 1) Declared on Form C17 (IM8, WT8, ST8) within 21 days; 2) Fully covered by a Customs Security Bond equal to the tax liability; 3) Transit journey must not exceed thirty (30) days from the date of the transit entry; 4) Movement is restricted strictly to 21 gazetted transit corridors; 5) Conveyed only in vehicles holding a valid Transit Goods License (TGL); 6) Transit vehicles must be sealable and fitted with electronic cargo tracking seals (RECTS)."
"What is a Transit Goods License (TGL) and how does it differ from Road User Charges (RUC)?","A Transit Goods License (TGL) is an annual license of USD 200 per vehicle issued on Form C28 following inspection under Form C39 via UESW, valid for 1 calendar year across all EAC Partner States; vehicles must be boldly painted 'TRANSIT GOODS'. In contrast, Road User Charges (RUC / Road Toll) are paid per trip by foreign trucks entering Uganda, calculated using the formula: (Distance in KMs / 100) x USD 10 (for 3-axle trucks) x Exchange Rate."
"What happens if transit cargo is involved in an accident or breakdown?","The driver or transporter must immediately: 1) Report the accident or breakdown to the nearest Customs office or Rapid Response Unit (RRU) on 0323 442500 and the Uganda Police; 2) Customs/RRU officers inspect the scene, authorize transshipment (if vehicle is damaged), and assign an officer to supervise cargo transfer to another licensed truck; 3) If goods are destroyed, duty remission is granted; if consumed locally, full duties are paid; 4) Upon resolution, transit journey resumes under customs seal."
"What is RECTS and how does it work?","RECTS (Regional Electronic Cargo Tracking System) is an integrated satellite-based monitoring platform operating across Kenya, Uganda, and Rwanda (with South Sudan and Burundi onboarding). Customs officers affix smart electronic seals (e-Seals) at entry ports free of charge. The Centralized Monitoring Center (CMC) tracks movements 24/7, escalating route deviations or seal tampering alerts to Rapid Response Unit (RRU) patrol teams. Destination officers deactivate and remove seals upon verified exit."
"What is a customs offence and how are offences compounded under Section 219 EACCMA?","A customs offence is any contravention of EACCMA (such as misdeclaration, smuggling, concealment, or undervaluation). When goods are seized, customs issues Seizure Notice Form C37 and deposits cargo in the warehouse. An offender may admit liability by submitting Form C35 (Request to Settle Offence). The compounding officer reviews the case file and makes a legally binding administrative ruling under Section 219 imposing taxes and compounding penalties. Alternatively, the case is prosecuted in court under Part XIX (Sections 220–228)."
"Do I commit an offence if my vehicle is used to convey smuggled or uncustomed goods?","Yes. Under Section 199 of the EAC Customs Management Act 2004, using a vehicle to convey uncustomed or smuggled goods is a serious customs offence. The person in charge is liable to a fine not exceeding USD 5,000, and both the conveyance vehicle and the subject goods are liable to mandatory forfeiture."
"Is Non-Intrusive Inspection (NII) cargo scanning safe and does URA charge a fee?","Non-Intrusive Inspection (NII) scanning is 100% FREE OF CHARGE — URA levies no scanning fees on cargo or baggage. Scanning takes less than one (1) minute. X-ray radiation has zero effect on food safety, flavour, texture, or nutritional value, and personnel radiation levels strictly comply with international and national Atomic Energy Council safety limits."
"Why does URA scan empty trucks?","It is important to ascertain whether the truck is actually empty in the fastest way possible, and that can only be done by scanning."
"How long does it take to scan cargo/package?","Non-intrusive inspection for cargo scanning takes less than one minute. It provides faster and more efficient clearance compared to physical methods, reducing delays at the airport and border stations."
"Do I have to scan my baggage even when I have no items to declare to Customs at Entebbe International Airport?","Irrespective of the channel of clearance, all passenger baggage will be subjected to non-intrusive inspection (scanned). If scanner images show any items concealed or exceeding duty-free allowances, the passenger will be directed to the physical examination area."
"Why does URA scan passenger baggage?","Passenger baggage is scanned in order to detect undeclared, dutiable, restricted, and prohibited items."
"Does x-ray radiation have effect on foodstuffs?","X-ray radiation used by URA customs has no effect on the food's safety, flavour, texture, or nutritional value."
"Is it safe to be exposed to the x-rays (radiation)? Is the driver's / personnel health not put at risk?","NII technologies are designed to be safe for cargo and personnel. Radiation exposure levels are strictly controlled in compliance with Atomic Energy Council guidelines and international standards."
"Does URA charge a fee for in order to scan?","Scanning/NII is completely free of charge. NII is an internal risk management procedure by a customs administration."
"What are the benefits of NII?","NII enables Customs to examine cargo without physical contact and hence identifies threats and contraband without alteration, thereby ensuring faster clearance of legitimate cargo and reducing dwell time."
"What is the shelf life requirement for importing food products into Uganda?","Under the URA Prohibited and Restricted Goods Guide at https://ura.go.ug/en/restricted-goods/, no person shall import any food product into Uganda unless the food product has a remaining shelf life of at least fifty percent (50%) at the time of shipment from the exporting country. Food products falling below this threshold are rejected and denied customs clearance."
"Where can I download the official Prohibited and Restricted Goods Schedule and what are key examples?","The official schedule can be downloaded at https://ura.go.ug/storage/2025/10/PROHIBITED-GOODS-2024-25-FINAL.pdf and viewed at https://ura.go.ug/en/restricted-goods/ and https://ura.go.ug/en/prohibited-goods-reviewed-docx/. Restricted imports include postal franking machines, game traps, unwrought precious metals, firearms (Ch. 93), ivory, spent nuclear fuel, ozone depleting substances, GMOs, CITES endangered species, second-hand tyres (commercial casings), psychotropic drugs, historical artefacts, and drone cameras. Restricted exports include unprocessed fish (Nile perch/tilapia), regional timber, wood charcoal, used car batteries, scrap metals, and raw minerals."
