New Sentence, Luganda - Translation,Swahili - Translation,Sentiment code
My friends enjoyed the party last night.,Mikwano gyange gyanyumiddwa akabaga ekiro ekyayise.,marafiki wangu walifurahia sherehe jana usiku,Pos
We rejoiced when our uncle who stays in Germany invited us to join him.,Twajaganya nga kojjaffe abeera e Bugirimaani atuyise tumwegatteko.,Tulifurahi mjomba wetu anayeishi Ujerumani alivyotualika kwenda.,Pos
The manager was angry at me when I reached past eight in the morning.,Maneja yali musunguwavu gyendi bwe natuuka ng'obudde bususse mu ssaawa bbiri ez'oku makya.,Meneja alinikasirikia nilivyofika zaidi ya saa mbili asubuhi,Neg
Last Friday I felt embarrassed when the secretary disrespected me in front of everyone.,Olwokutaano oluwedde nawulira nga nswadde omuwandiisi bwe yampisaamu amaaso mu maaso ga buli omu.,Ijumaa ilyopita nilijihisi aibu katibu muhtasi alivyonivunjia heshima mbele ya watu,Neg
She felt disappointed when her father failed to attend her graduation ceremony.,Yeewuunya nga kitaawe alemereddwa okugenda ku matikkira ge.,Alikosa furaha baba yake aliposhindwa kuhudhuria katika mahafali yake,Neg
My son was very happy when his father bought him two new pairs of trousers.,Mutabani wange yabadde musanyufu nnyo nga kitaawe amugulidde emigogo ebiri egy'empale empya.,Mtoto wangu wa kiume alikuwa na furaha sana baba yake alipomnunulia jozi mbili mpya za suruali,Pos
He shed tears of joy when he won the hundred meters race.,Yayungula amaziga ag'essanyu ng'awangudde emisinde gya mmita ekikumi.,Alitokwa na machozi ya furaha aliposhinda mbio za mita mia,Pos
We are worried because our father is sick and can barely move.,Tuli beeraliikirivu kubanga kitaffe mulwadde era tasobola yadde okutambula.,Tuna wasiwasi kwa sababu baba yetu ni mgonjwa na huenda akafariki dunia.,Neg
My grandmother was very happy when I bought her a new phone.,Jjajjange omukyala yali musanyufu nga mmugulidde essimu empya.,Bibi yangu alifurahi sana nilipomnunulia simu mpya,Pos
I am glad that both of our parents are still alive.,Ndi musanyufu okuba nga bazadde baffe bombi bakyali balamu.,Nina furaha kwa kuwa wazazi wetu wawili bado wapo hai,Pos
She became envious of her stepsister's success.,Yafuna ensaalwa olw'obuwanguzi omubbeere we bwe yatuukako.,Alikuwa na wivu kwa mafanikio ya dada yake wa kambo,Neg
We were happy when you agreed to take care of the deceased's children.,Twali basanyufu ng'okkirizza okulabirira abaana b'omugenzi.,Tulifurahi ulipokubali kuwalea watoto wa marehemu,Pos
I was filled with excitement when he invited me for a date.,Najjula essanyu ng'ampise tugende tucakaleko ng'abaagalana.,Nilijawa na furaha aliponialika kukutana naye,Pos
