question,answer
"What is the Authorized Economic Operator (AEO) program?","A trade facilitation initiative based on the WCO SAFE Framework where compliant traders partner with URA Customs to secure the supply chain and receive simplified, preferential clearance." 
"Who is an AEO?","Any individual, business, or government department involved in international trade that the Commissioner Customs authorizes after meeting supply chain security requirements." 
"Who are the prospective AEO clients?","Manufacturers (export/import), customs clearing agents, bonded warehouse keepers, importers and exporters, transporters and freight forwarders." 
"What are the objectives of the Uganda AEO scheme?","Promote and reward good business practices; strengthen Customs–business and Customs–Customs partnerships; foster inter-agency cooperation; secure the international supply chain; and encourage voluntary compliance with customs laws." 
"What is the eligibility criteria for becoming an AEO?","Be in international trade; able to use URA systems (e.g., ASYCUDA, e-tax); have at least 3 years of good compliance history; be financially sound (not bankrupt); implement the AEO Compliance Program." 
"What are the steps to attain AEO status?","1) Write an expression of interest to Commissioner Customs. 2) Hold preliminary consultation with the Customs AEO team. 3) Submit the self-assessment form with supporting documents. 4) Customs vets the application and documents. 5) Customs conducts on-site inspection of premises. 6) If requirements are met, Commissioner Customs authorizes AEO status." 
"What are the immediate benefits of the AEO program to business?","Pre-arrival clearance; major clearance time reductions; priority treatment with Customs; choice of examination place; automatic renewal of licenses (agency/bonded warehouse); withholding tax exemption; priority in URA activities; secured parking at URA Tower; participation in AEO national working group." 
"What are the long-term benefits to business?","Lower cost of doing business; enhanced reputation; higher turnover; improved service quality; trusted/compliant profile; stronger internal controls; mutual recognition opportunities." 
"What is the Regional AEO program in the EAC?","An EAC-wide AEO framework running alongside the national program to boost revenue and trade facilitation, strengthen Customs–business partnerships, and secure the regional/global supply chain." 
"How can a Ugandan AEO operate outside Uganda (Mutual Recognition)?","Through Mutual Recognition Arrangements where partner countries recognize each other’s AEO programs (aligned to WCO SAFE), granting benefits to each other’s AEOs bilaterally or multilaterally." 
"What facilitation benefits do Regional AEO importers/exporters/manufacturers receive?","Expedited processing and automatic passing of declarations; no physical/document exams except random/risk-based with priority handling and choice of exam location; priority refund processing; consideration for reduced customs security where applicable." 
"What benefits do Regional AEO Customs Agents receive?","Guaranteed renewal of the agent’s license (payment still required); first priority to join new Customs initiatives; priority treatment in cargo clearance; waiver of movement bond when importer/exporter, agent, and transporter are all AEOs." 
"What benefits do Regional AEO Warehouse Operators receive?","Privilege to self-manage bonded warehouses (subject to law/conditions); guaranteed renewal of warehouse operator license (fees still due); consideration for reduced customs security on a case-by-case basis." 
"How are AEO consignments verified under special circumstances?","AEO importers are blue-lane: risk addressed via post-import audit; exams only on risk-based selection, and managers ensure AEOs receive priority even during system challenges."
"What is the SAFE Framework and what are its three pillars?","The acronym SAFE stands for Security and Facilitation in a global Environment, developed by the World Customs Organization (WCO) in Brussels in 2005. It establishes end-to-end supply chain security standards while promoting trade facilitation through three core pillars: 1) Pillar 1: Customs-to-Customs network arrangements; 2) Pillar 2: Customs-to-Business partnerships; and 3) Pillar 3: Customs-to-Other Government Agencies (OGAs) cooperation."
"Is the AEO program mandatory for all businesses involved in international trade?","No. The AEO program is 100% voluntary. Applying for AEO status is a strategic business decision based on the entity's trade volume, compliance maturity, and role within the international supply chain."
