question,answer
"What is Automatic Exchange of Information (AEOI)?","Automatic Exchange of Information (AEOI) is the yearly bulk transmission of non-resident financial account information from the source country to the account holder’s country of tax residence (e.g., dividends, interest, royalties, salaries, pensions). Uganda’s legal basis comes from the Convention on Mutual Administrative Assistance in Tax Matters (Implementation) Act, 2023, which domesticates the MAAC, the MCAA, and the Common Reporting Standard (CRS)."
"Legal basis for AEOI in Uganda","The Convention on Mutual Administrative Assistance in Tax Matters (Implementation) Act, 2023 domesticates the MAAC, the Multilateral Competent Authority Agreement on Automatic Exchange of Financial Account Information (MCAA), and the Common Reporting Standard (CRS) with their due-diligence and reporting obligations."
"Why Automatic Exchange of Information (AEOI)?","Globalisation enables offshore investment and tax evasion; AEOI improves transparency and tax compliance by automatically sharing financial account data on non-residents."
"Benefits of AEOI","Provides timely information on noncompliance, detects hidden noncompliance, deters evasion, enhances voluntary compliance, and increases tax revenue for Uganda’s development."
"What types of financial institutions are covered by AEOI?","Custodial institutions; Depository institutions; Investment entities; Specified insurance companies."
"What types of accounts are covered by AEOI?","Custodial accounts; Depository accounts; Equity or debt interests in investment entities; Cash value insurance contracts and annuity contracts."
"What types of information can be exchanged?","Identification: account holder/controlling person name, address, jurisdiction of residence, TIN, date/place of birth (for individuals); Account details: account number (or equivalent), reporting FI name/ID; Financials: balances/values, closures, gross interest/dividends/other income, gross proceeds, redemption payments (per account type under CRS)."
"How is confidentiality and security of exchanges guaranteed?","Uganda must maintain high confidentiality and data safeguards; exchanges use secure point-to-point communications. URA exchanges with the OECD via the Common Transmission System (CTS)."
"When must reporting financial institutions submit information to URA?","Annually for the calendar year ending 31 December, due by 31 May of the following year."
"What if no reportable accounts are found after due diligence?","The reporting financial institution must file a Nil return."
"Pre-existing and new account dates for due diligence","Pre-existing accounts are those maintained as of 31 December 2023. New accounts are those opened on or after 1 January 2024. Due-diligence procedures differ between the two categories."
"Consequences of failing to fulfill reporting obligations","Under the Act, penalties include: UGX 5,000,000 per day for failure to file returns; UGX 10,000,000 plus UGX 400,000 per day for failure to maintain due-diligence records; up to UGX 50,000,000 and/or up to 10 years’ imprisonment for false or misleading statements or omissions related to AEOI returns or self-certifications."
"How will AEOI information be protected?","Implementation follows ISO 27001 and internet-security standards with secure networks, monitoring, backups, and controlled access. URA staff must follow strict procedures, and exchanges occur only with jurisdictions that have equivalent security under AEOI agreements."
"Who are the reportable persons for AEOI?","Financial institutions in Uganda identify accounts of non-resident individuals or entities (tax-resident outside Uganda), report them to URA, and URA transmits to the relevant tax jurisdiction."
"How are individuals and entities affected by AEOI?","Only reportable (non-Uganda-resident) persons are reported. Purely Uganda-resident taxpayers are not reported. FIs must collect required information via due diligence and self-certifications."
"What is a self-certification?","A formal declaration of an account holder’s tax residence. Knowingly or recklessly false, misleading, or incorrect self-certifications can attract fines up to UGX 50,000,000 and/or up to 10 years’ imprisonment."
"Why must I provide tax residency in the self-certification?","Due-diligence rules in the Act require FIs to identify the tax residency of account holders and controlling persons for AEOI reporting."
"Do Ugandan-only tax residents need to self-certify?","Yes. For new accounts, self-certification is required. For pre-existing accounts, FIs conduct due diligence and may request self-certification if needed."
"What if my tax residency changes?","Inform the reporting financial institution and provide an updated self-certification, generally within about 30 days of the change."
"How do I know if I am a tax resident of another jurisdiction?","Tax residence is determined by each jurisdiction’s domestic law; a person may have multiple tax residences. Paying some taxes abroad does not by itself create tax residence. Refer to the OECD CRS tax-residency portal or seek professional advice if unsure."
"Will Ugandan-only residents be reported abroad?","If you are not tax-resident outside Uganda, your accounts should not be reported by FIs to URA for transmission to other jurisdictions."
"Joint account where one holder is tax-resident abroad","If one holder is tax-resident in Country A, the full joint account is reported to Country A under AEOI. The co-holder not tax-resident abroad is not reported."
"Ugandan resident owning property abroad","Owning property or paying related taxes abroad does not alone make you tax-resident there; if you are not tax-resident in that country, your Ugandan account is not reported to it."
"Account held for non-resident spouse but spouse is account holder","Only the beneficiary/account holder’s tax residence matters. If the spouse (account holder) is not tax-resident in Country C, the account is not exchanged to Country C."
"Will URA specify overseas tax residents?","No. Each jurisdiction defines its own tax residence. FIs obtain self-certifications for new accounts and perform due diligence on pre-existing accounts; they may seek self-certification if in doubt."
"Definition of Uganda tax resident for AEOI purposes","Individual: permanent home in Uganda; or ≥183 days in any 12-month period; or ≥122-day average in current + two prior years; or Ugandan government employee posted abroad. Company: incorporated in Uganda, or management/control in Uganda, or majority operations in Uganda. Trust: established in Uganda, or a trustee is resident, or management/control in Uganda. Partnership: any resident partner during the year."
