question,answer
"How do I object to a tax assessment?","Lodge a written objection with the Commissioner General within 45 days of being served the notice of assessment. State the grounds of your objection and attach the supporting documents. The Commissioner General must issue a decision within 90 days, as provided under the Tax Procedures Code Act section 23."
"How do I lodge an objection?","Write to the Commissioner General within 45 days of service of the notice of assessment, setting out the grounds of the objection and enclosing supporting documentation. A decision must be issued within 90 days under the Tax Procedures Code Act section 23."
"How do I object to a tax assessment I disagree with?","If you are dissatisfied with an assessment you may object to it. Send a written objection to the Commissioner General within 45 days of service of the notice, state why you disagree, and attach documents that support your position. The Commissioner General must decide within 90 days."
"How long do I have to object to an assessment?","45 days from the date the notice of assessment is served on you, under the Tax Procedures Code Act section 23."
"What must a tax objection contain?","It must be in writing, state the grounds on which you are objecting, and include the documentation that supports those grounds."
"Who do I lodge a tax objection with?","The Commissioner General."
"How long does URA take to decide an objection?","The Commissioner General must issue a decision on the objection within 90 days, under the Tax Procedures Code Act section 23."
"Can I object to an assessment I am not satisfied with?","Yes. A taxpayer dissatisfied with an assessment may lodge an objection with the Commissioner General within 45 days of service of the notice of assessment."
"What is a notice of objection?","It is the written notice you send to the Commissioner General to dispute an assessment. It must state the grounds of objection and include supporting documentation, and it must be lodged within 45 days of service of the notice of assessment."
"If the Commissioner rejects my objection, which tribunal or court do I appeal to?","If you are dissatisfied with the objection decision of the Commissioner General, you may appeal to the Tax Appeals Tribunal (TAT) within thirty (30) days under Section 16 of the Tax Appeals Tribunals Act. You may also explore Alternative Dispute Resolution (ADR). A decision of the Tax Appeals Tribunal may further be appealed to the High Court of Uganda on questions of law."
"What percentage of assessed tax must be paid before lodging an appeal to TAT?","Under Section 15 of the Tax Appeals Tribunals Act, a taxpayer intending to appeal to the Tax Appeals Tribunal (TAT) must pay thirty percent (30%) of the tax assessed or the part of the tax not in dispute, whichever is greater, before the appeal can be heard."
"How do I object to a tax assessment on the URA portal?","To lodge an objection to a tax assessment: 1) Go to portal.ura.go.ug > e-Services > Objections and Appeals > Object to a Tax Assessment; 2) Ensure you lodge within 45 days from service of the assessment notice under Section 24 TPCA; 3) Enter your 10-digit TIN and the Assessment Registration Number (ARN); 4) State the precise legal and factual grounds of objection in writing; 5) Attach supporting documentation (audited books, bank statements, reconciliations); 6) Submit online to receive your Objection Reference Number. URA must issue an objection decision within 90 days, or the objection is deemed allowed by law."
"How do I object to non-assessment decisions made by URA?","To object to an administrative or non-assessment decision (e.g. refusal to grant a Tax Clearance Certificate, TIN revocation, private ruling refusal, or third-party agency notice): 1) Visit portal.ura.go.ug > e-Services > Objections and Appeals > Object To Other Decisions; 2) Select the decision category; 3) Enter the decision reference number and date of notification; 4) State your grounds of grievance under the relevant tax act; 5) Attach the URA decision letter and supporting correspondence; 6) Submit for formal Commissioner administrative review."
"What does 'Elect To An Objection Decision' mean on the URA portal?","Under e-Services > Objections and Appeals > Elect To An Objection Decision, a taxpayer who has received a formal Objection Decision from the Commissioner General chooses their legal course of action: 1) Option A: Accept the objection decision and generate a PRN to settle any agreed tax liability; 2) Option B: Apply for Alternative Dispute Resolution (ADR) for negotiated settlement; 3) Option C: Lodge a formal appeal with the Tax Appeals Tribunal (TAT) within 30 statutory days under Section 16 of the TAT Act (paying 30% pre-deposit or undisputed tax, whichever is higher)."
"How do I apply to extend the deadline to lodge a tax objection?","If you cannot meet the 45-day statutory deadline to object: 1) Visit portal.ura.go.ug > e-Services > Objections and Appeals > Apply To Extend Date To Lodge an Objection; 2) Enter the assessment notice reference number; 3) State reasonable grounds for delay under Section 24(2) TPCA (such as serious illness, absence from Uganda, or system downtime); 4) Upload supporting medical records, travel proof, or documentation; 5) Submit before enforcement actions commence."
"How do I apply for a waiver of the 30% payment requirement before appealing to TAT?","Under Section 15 of the TAT Act, a taxpayer must pay 30% of assessed tax or the undisputed amount before an appeal can be heard. To apply for relief: 1) Go to portal.ura.go.ug > e-Services > Objections and Appeals > Apply For Waiver of Payment Requirement; 2) Demonstrate extreme financial hardship or risk of insolvency; 3) Upload certified financial accounts and bank statements; 4) The Commissioner evaluates requests for installment payment agreements, partial waivers, or bank guarantees."
"How do I apply for a penalty reversal or interest waiver on the URA portal?","To apply for penalty reversal: 1) Log in to portal.ura.go.ug > e-Services > Objections and Appeals > Apply For Penalty Reversal; 2) Select the penalty assessment notice and tax head; 3) State statutory grounds (e.g. URA portal system downtime, bank settlement delays, or voluntary disclosure under Section 66 TPCA); 4) Attach proof that the principal tax was paid on time (bank slips, PRN receipts, system error logs); 5) Submit for review; approved reversals credit the taxpayer account within 14 business days."
"How do I initiate Alternative Dispute Resolution (ADR) for a tax dispute?","To resolve a tax dispute amicably without adversarial litigation: 1) Visit portal.ura.go.ug > e-Services > Objections and Appeals > Alternative Dispute Resolution (ADR) Form; 2) Download or complete the ADR application form; 3) Enter TIN, disputed assessment numbers, and contested amount; 4) Propose compromise settlement terms and payment schedules; 5) Attach dispute grounds and reconciliations; 6) Both parties convene an ADR session led by the URA Dispute Resolution Department to execute a binding amicable settlement agreement."
"How do I track the status of a tax objection or appeal application?","To track the progress of an objection, penalty reversal, or extension application: 1) Visit portal.ura.go.ug > e-Services > Objections and Appeals > Track Application Status; 2) Enter your 10-digit TIN and the Objection Reference Number (e.g. OBJ-XXXXXXXX); 3) Enter the security CAPTCHA and click Track Status; 4) View processing stages: Objection Lodged → Assigned to Legal Review Officer → Additional Submissions Pending → Objection Decision Issued (within 90 days); 5) Download the certified signed Objection Decision notice in PDF format."
