blind_id,file,text,naturalness_1_5,pronunciation_1_5,rater,notes
14914,samples/14914.wav,Alipoota y'omusolo gw'enfuna eweebwayo ng'omwaka gw'ebyensimbi guwedde.,,,,
15138,samples/15138.wav,Nkebera kati.,,,,
16105,samples/16105.wav,"Nsonyiwa, ddamu nate.",,,,
16328,samples/16328.wav,"Kale, nkutegedde.",,,,
16499,samples/16499.wav,Oyagala kumanya ki?,,,,
17602,samples/17602.wav,"Okwewandiisa ku TIN tekusasulwa, era osobola okukikola ku mukutu gwa URA.",,,,
17747,samples/17747.wav,Abakozesa bonna balina okuggyako omusolo gwa PAYE ku misaala gy'abakozi baabwe ne bagusasula eri URA buli mwezi.,,,,
17812,samples/17812.wav,Abasuubuzi abatono basobola okusasula omusolo omukalu buli mwaka singa enfuna yaabwe teri waggulu nnyo.,,,,
17952,samples/17952.wav,"Okwewandiisa ku TIN, genda ku mukutu gwa URA, jjuzaamu foomu, olwo ofune namba yo mu nnaku ntono nga tosasudde kintu kyonna.",,,,
18108,samples/18108.wav,"Okufuna ebisingawo, kuba ku nnamba ey'obwereere, oba genda ku mukutu gwa URA ku yintaneeti.",,,,
18229,samples/18229.wav,"Bw'oba toli mumativu n'omusolo gwe bakusalidde, osobola okuwakanya mu bbanga ery'ennaku amakumi asatu.",,,,
18519,samples/18519.wav,"Nsonyiwa, sikuwulidde bulungi, oyinza okuddamu ekibuuzo kyo?",,,,
19012,samples/19012.wav,Omukozi wa URA ajja kukukubira essimu mu bbanga ttono.,,,,
19156,samples/19156.wav,Tosobola kusasula ssente mu ngalo; kozesa banka oba essimu.,,,,
19494,samples/19494.wav,"Nsonyiwa, ddamu nate.",,,,
19594,samples/19594.wav,"Singa olemwa okusasula omusolo ku budde, URA eyinza okukusalira ekibonerezo, n'olwekyo kirungi okusasula mangu.",,,,
20173,samples/20173.wav,"Kale, nkutegedde.",,,,
20728,samples/20728.wav,Omukozi wa URA ajja kukukubira essimu mu bbanga ttono.,,,,
21265,samples/21265.wav,Omukozi wa URA ajja kukukubira essimu mu bbanga ttono.,,,,
21889,samples/21889.wav,"Nsonyiwa, sikuwulidde bulungi, oyinza okuddamu ekibuuzo kyo?",,,,
22267,samples/22267.wav,"Nnyinza okukuyamba ku by'okwewandiisa, okusasula, n'eby'oku mwalo.",,,,
22337,samples/22337.wav,Tukwataganya n'omukozi.,,,,
22770,samples/22770.wav,"Okukyusa obwannannyini bw'emmotoka, omuguzi n'omutunzi balina okujja ne TIN zaabwe n'ebiwandiiko by'emmotoka.",,,,
23507,samples/23507.wav,Kino kikwatagana n'omusolo gwa PAYE ku musaala gw'abakozi.,,,,
25439,samples/25439.wav,Nsaba ondinde katono nga nkebera amawulire gano.,,,,
25475,samples/25475.wav,"Okukyusa obwannannyini bw'emmotoka, omuguzi n'omutunzi balina okujja ne TIN zaabwe n'ebiwandiiko by'emmotoka.",,,,
26226,samples/26226.wav,"Okukyusa obwannannyini bw'emmotoka, omuguzi n'omutunzi balina okujja ne TIN zaabwe n'ebiwandiiko by'emmotoka.",,,,
27455,samples/27455.wav,Tukwataganya n'omukozi.,,,,
28907,samples/28907.wav,"Okwewandiisa ku TIN tekusasulwa, era osobola okukikola ku mukutu gwa URA.",,,,
29772,samples/29772.wav,Lindako katono.,,,,
29920,samples/29920.wav,"Okufuna ebisingawo, kuba ku nnamba ey'obwereere, oba genda ku mukutu gwa URA ku yintaneeti.",,,,
31621,samples/31621.wav,"Nkukwataganya n'omukozi wa URA kati, nsaba olinde ku ssimu, omukozi ajja kufuna ebikwata ku kibuuzo kyo byonna.",,,,
33562,samples/33562.wav,Nsaba ondinde katono nga nkebera amawulire gano.,,,,
33688,samples/33688.wav,Tosobola kusasula ssente mu ngalo; kozesa banka oba essimu.,,,,
34624,samples/34624.wav,Abakozesa bonna balina okuggyako omusolo gwa PAYE ku misaala gy'abakozi baabwe ne bagusasula eri URA buli mwezi.,,,,
36995,samples/36995.wav,Weebale kukuba ku URA.,,,,
38140,samples/38140.wav,Nsaba ondinde katono nga nkebera amawulire gano.,,,,
38977,samples/38977.wav,"Kale, nkutegedde.",,,,
39260,samples/39260.wav,"EFRIS nkola ya URA ey'okufulumya risiiti ku kompyuta, era buli muntu awandiisiddwa ku VAT alina okugikozesa.",,,,
41544,samples/41544.wav,Kino kikwatagana n'omusolo gwa PAYE ku musaala gw'abakozi.,,,,
41994,samples/41994.wav,Alipoota y'omusolo gw'enfuna eweebwayo ng'omwaka gw'ebyensimbi guwedde.,,,,
42561,samples/42561.wav,Omusolo gwa VAT guli ebitundu kkumi na munaana ku buli kikumi.,,,,
45381,samples/45381.wav,"Namba yo ey'okujuliza eri ku ssimu yo, gikuume bulungi.",,,,
47302,samples/47302.wav,"Bw'oba toli mumativu n'omusolo gwe bakusalidde, osobola okuwakanya mu bbanga ery'ennaku amakumi asatu.",,,,
47740,samples/47740.wav,"Bw'oba ng'ofuna enfuna okuva mu nnyumba z'opangisa, olina okuwaayo alipoota y'omusolo gw'ennyumba ezipangisibwa buli mwaka.",,,,
47959,samples/47959.wav,Kiki ekirala?,,,,
49291,samples/49291.wav,"Okwewandiisa ku TIN tekusasulwa, era osobola okukikola ku mukutu gwa URA.",,,,
49354,samples/49354.wav,"Namba yo ey'okujuliza eri ku ssimu yo, gikuume bulungi.",,,,
50433,samples/50433.wav,Omukozi wa URA ajja kukukubira essimu mu bbanga ttono.,,,,
50580,samples/50580.wav,"Bw'oba ng'ofuna enfuna okuva mu nnyumba z'opangisa, olina okuwaayo alipoota y'omusolo gw'ennyumba ezipangisibwa buli mwaka.",,,,
51123,samples/51123.wav,Tukwataganya n'omukozi.,,,,
51175,samples/51175.wav,"Nsonyiwa, ddamu nate.",,,,
52445,samples/52445.wav,Weebale kukuba ku URA.,,,,
54580,samples/54580.wav,Kiki ekirala?,,,,
54833,samples/54833.wav,Abasuubuzi abatono basobola okusasula omusolo omukalu buli mwaka singa enfuna yaabwe teri waggulu nnyo.,,,,
55020,samples/55020.wav,"Nsonyiwa, sikuwulidde bulungi, oyinza okuddamu ekibuuzo kyo?",,,,
55482,samples/55482.wav,"Okufuna ebisingawo, kuba ku nnamba ey'obwereere, oba genda ku mukutu gwa URA ku yintaneeti.",,,,
55898,samples/55898.wav,"Yee, kituufu.",,,,
57393,samples/57393.wav,"Yee, kituufu.",,,,
57931,samples/57931.wav,Kiki ekirala?,,,,
58810,samples/58810.wav,"Singa olemwa okusasula omusolo ku budde, URA eyinza okukusalira ekibonerezo, n'olwekyo kirungi okusasula mangu.",,,,
60566,samples/60566.wav,"Nkukwataganya n'omukozi wa URA kati, nsaba olinde ku ssimu, omukozi ajja kufuna ebikwata ku kibuuzo kyo byonna.",,,,
61750,samples/61750.wav,Nkebera kati.,,,,
61993,samples/61993.wav,Nkebera kati.,,,,
64804,samples/64804.wav,"Bw'oba toli mumativu n'omusolo gwe bakusalidde, osobola okuwakanya mu bbanga ery'ennaku amakumi asatu.",,,,
64810,samples/64810.wav,"Namba yo ey'okujuliza eri ku ssimu yo, gikuume bulungi.",,,,
64937,samples/64937.wav,"Yee, kituufu.",,,,
65272,samples/65272.wav,Lindako katono.,,,,
65642,samples/65642.wav,"Bw'oba ng'ofuna enfuna okuva mu nnyumba z'opangisa, olina okuwaayo alipoota y'omusolo gw'ennyumba ezipangisibwa buli mwaka.",,,,
66045,samples/66045.wav,"Kale, nkutegedde.",,,,
66838,samples/66838.wav,"Nnyinza okukuyamba ku by'okwewandiisa, okusasula, n'eby'oku mwalo.",,,,
68411,samples/68411.wav,"EFRIS nkola ya URA ey'okufulumya risiiti ku kompyuta, era buli muntu awandiisiddwa ku VAT alina okugikozesa.",,,,
68829,samples/68829.wav,"Okwewandiisa ku TIN, genda ku mukutu gwa URA, jjuzaamu foomu, olwo ofune namba yo mu nnaku ntono nga tosasudde kintu kyonna.",,,,
69399,samples/69399.wav,Kiki ekirala?,,,,
69795,samples/69795.wav,Alipoota y'omusolo gw'enfuna eweebwayo ng'omwaka gw'ebyensimbi guwedde.,,,,
71027,samples/71027.wav,Mbuulira TIN yo.,,,,
72141,samples/72141.wav,Tosobola kusasula ssente mu ngalo; kozesa banka oba essimu.,,,,
74089,samples/74089.wav,Weebale kukuba ku URA.,,,,
74895,samples/74895.wav,Kino kikwatagana n'omusolo gwa PAYE ku musaala gw'abakozi.,,,,
75066,samples/75066.wav,Lindako katono.,,,,
75100,samples/75100.wav,Omusolo gwa VAT guli ebitundu kkumi na munaana ku buli kikumi.,,,,
76510,samples/76510.wav,Omusolo gwa VAT guli ebitundu kkumi na munaana ku buli kikumi.,,,,
77100,samples/77100.wav,"EFRIS nkola ya URA ey'okufulumya risiiti ku kompyuta, era buli muntu awandiisiddwa ku VAT alina okugikozesa.",,,,
78838,samples/78838.wav,Tosobola kusasula ssente mu ngalo; kozesa banka oba essimu.,,,,
79693,samples/79693.wav,Oyagala kumanya ki?,,,,
80239,samples/80239.wav,Mbuulira TIN yo.,,,,
80868,samples/80868.wav,Omusolo gwa VAT guli ebitundu kkumi na munaana ku buli kikumi.,,,,
81793,samples/81793.wav,"EFRIS nkola ya URA ey'okufulumya risiiti ku kompyuta, era buli muntu awandiisiddwa ku VAT alina okugikozesa.",,,,
82226,samples/82226.wav,"Okwewandiisa ku TIN, genda ku mukutu gwa URA, jjuzaamu foomu, olwo ofune namba yo mu nnaku ntono nga tosasudde kintu kyonna.",,,,
82963,samples/82963.wav,Mbuulira TIN yo.,,,,
83148,samples/83148.wav,"Nsonyiwa, ddamu nate.",,,,
83434,samples/83434.wav,"Nnyinza okukuyamba ku by'okwewandiisa, okusasula, n'eby'oku mwalo.",,,,
83972,samples/83972.wav,"Nkukwataganya n'omukozi wa URA kati, nsaba olinde ku ssimu, omukozi ajja kufuna ebikwata ku kibuuzo kyo byonna.",,,,
84115,samples/84115.wav,"Singa olemwa okusasula omusolo ku budde, URA eyinza okukusalira ekibonerezo, n'olwekyo kirungi okusasula mangu.",,,,
84830,samples/84830.wav,Alipoota y'omusolo gw'enfuna eweebwayo ng'omwaka gw'ebyensimbi guwedde.,,,,
84868,samples/84868.wav,"Okwewandiisa ku TIN, genda ku mukutu gwa URA, jjuzaamu foomu, olwo ofune namba yo mu nnaku ntono nga tosasudde kintu kyonna.",,,,
85107,samples/85107.wav,Mbuulira TIN yo.,,,,
85290,samples/85290.wav,"Nnyinza okukuyamba ku by'okwewandiisa, okusasula, n'eby'oku mwalo.",,,,
85642,samples/85642.wav,Weebale kukuba ku URA.,,,,
85752,samples/85752.wav,"Singa olemwa okusasula omusolo ku budde, URA eyinza okukusalira ekibonerezo, n'olwekyo kirungi okusasula mangu.",,,,
86008,samples/86008.wav,Nsaba ondinde katono nga nkebera amawulire gano.,,,,
86231,samples/86231.wav,"Nsonyiwa, sikuwulidde bulungi, oyinza okuddamu ekibuuzo kyo?",,,,
86387,samples/86387.wav,"Yee, kituufu.",,,,
86414,samples/86414.wav,Abasuubuzi abatono basobola okusasula omusolo omukalu buli mwaka singa enfuna yaabwe teri waggulu nnyo.,,,,
86748,samples/86748.wav,Lindako katono.,,,,
86750,samples/86750.wav,Tukwataganya n'omukozi.,,,,
87905,samples/87905.wav,"Okwewandiisa ku TIN tekusasulwa, era osobola okukikola ku mukutu gwa URA.",,,,
89817,samples/89817.wav,Abakozesa bonna balina okuggyako omusolo gwa PAYE ku misaala gy'abakozi baabwe ne bagusasula eri URA buli mwezi.,,,,
91134,samples/91134.wav,"Okufuna ebisingawo, kuba ku nnamba ey'obwereere, oba genda ku mukutu gwa URA ku yintaneeti.",,,,
92238,samples/92238.wav,"Nkukwataganya n'omukozi wa URA kati, nsaba olinde ku ssimu, omukozi ajja kufuna ebikwata ku kibuuzo kyo byonna.",,,,
92657,samples/92657.wav,"Bw'oba toli mumativu n'omusolo gwe bakusalidde, osobola okuwakanya mu bbanga ery'ennaku amakumi asatu.",,,,
93743,samples/93743.wav,"Bw'oba ng'ofuna enfuna okuva mu nnyumba z'opangisa, olina okuwaayo alipoota y'omusolo gw'ennyumba ezipangisibwa buli mwaka.",,,,
