question,answer
"What new income tax holiday was introduced?","Ugandan-owned businesses registered after 1 July 2025 get a three-year income tax exemption if initial capital is ≤ UGX 500m, the owner/associate has not benefited before, and they file returns including business info as prescribed." 
"How long is Bujagali hydropower income tax relief extended?","Exempt until 30 June 2026 to keep power costs lower and investor confidence high." 
"How was corporate reorganisation relief expanded?","Roll-over relief now covers transfers to another person (not an individual) controlled by the transferor/shareholders where transferee stock is distributed." 
"What change was made to digital service tax?","No DST applies where a non-resident provides digital services to an associate in Uganda (related-party transactions excluded)." 
"Which institution was added to the listed institutions?","International Atomic Energy Agency (IAEA)." 
"What VAT changes affect public international bodies?","Schedule 2 adds UN-related and specialised agencies (including correcting IAEA name) to allow VAT refund relief." 
"Which supplies gained VAT exemption?","Deep cycle batteries, solar lanterns and raw materials for them; wet processing/garmenting inputs (cotton lint, fibres, dyes, machinery parts, accessories); biomass pellets. Terminology shifts from “composite lanterns” to “solar lanterns.”" 
"Which VAT exemption was repealed?","Exemption for billets for further value addition was removed to spur local billet production." 
"What VAT zero-rating change was made?","Supply of aircraft is zero-rated to reduce acquisition costs and encourage fleet investment." 
"How was excise duty refunds improved?","Businesses can apply to offset excise paid on damaged/expired/obsolete goods against other tax liabilities (or other taxes if elected) upon proof." 
"What excise rate adjustments were made?","Tobacco: soft cap sticks UGX 65k/1000 (local) and UGX 150k/1000 (imported); hinge lid UGX 90k/1000 (local) and UGX 200k/1000 (imported). Beer with ≥75% local raw material: 30% or UGX 900/L (higher). Fruit/veg juice (except ≥50% local pulp) 10% or UGX 250/L (higher). Plastics: sacks/bags HS 3923.21/3923.29 at 2.5% or USD 70/ton (higher) with exclusions (vacuum food bags, tea/coffee sacks, sanitary pad bags)." 
"What stamp duty relief was introduced?","Nil duty for agreements/memoranda, mortgage deeds, and crop mortgages to lower financing costs." 
"What new TIN/ID requirements apply?","For tax purposes use NIN for individuals, URSB registration number for non-individuals, or a foreign TIN from a treaty partner. Authorities must require these before issuing licenses or registering stamp-duty instruments." 
"What waiver is available for outstanding taxes?","Interest and penalties outstanding as of 30 June 2024 are waived pro-rata if part of the principal is paid by 30 June 2026." 
"What are new penalties around EFRIS and gaming?","EFRIS: penal tax of double the tax due on the goods/services. Gaming/betting: operators must use the centralised payments gateway; non-use triggers penal tax of double the gaming/WHT due or 5,500 currency points, whichever is higher." 
"What compliance rule was added for tax-exempt entities?","Exempt taxpayers must continuously meet exemption conditions or become personally liable for the tax during non-compliant periods." 
"Which customs duty remissions were granted for FY 2025/26?","One-year remissions to 0%/lower rates on: scaffolding pipes and cup-lock systems; melamine resins for kitchenware; stainless steel flat-rolled inputs for pipes; paper/paperboard for beer/cigarette labels; lacquers/varnish for metallic labels; printing inks (UV/metallic) for labels; certain cartons/PVC sheets for pharma packaging; plus reduced rates to support local manufacturing." 
