question,answer
"What is withholding tax (WHT)?","Withholding tax (WHT) is an income tax deducted by the person making a payment (Withholding agent) before the balance is paid to the person receiving the money (Payee). The agent remits the deducted tax directly to URA on behalf of the recipient. For example, if a designated company owes a supplier UGX 2,000,000 for services, it withholds 6% (UGX 120,000), pays the supplier UGX 1,880,000, and remits UGX 120,000 to URA."
"Who can be a withholding agent?","A person legally required to deduct withholding tax from a payment and remit it to URA. A person must withhold tax where they are either on the list of selected/designated withholding agents published by the Minister of Finance in the gazette, or making a payment on a transaction that is subject to withholding tax by law."
"What is the difference between final and creditable withholding tax?","Final withholding taxes fully discharge the recipient's income tax liability on that income; the recipient does not claim the tax as a credit in an income tax return and the income is not taxed again (e.g. interest from financial institutions paid to resident individuals, dividends paid to resident individuals, insurance agent commissions, telecom/mobile money commissions, international payments, non-resident public entertainers, non-resident contractors, and non-resident shipping/air transport). Creditable withholding taxes operate as advance tax payments; the recipient declares gross income, computes tax liability, and claims the deducted WHT as a tax credit on their ledger (e.g. 6% on professional fees, 6% goods/services to designated agents, 6% import WHT, and company dividend/interest WHT)."
"What are the revised FY 2026/27 PAYE monthly tax bands for resident individuals?","Under the revised FY 2026/27 resident PAYE schedule: 1) Monthly chargeable income not exceeding UGX 335,000: Nil; 2) Exceeding UGX 335,000 but not exceeding UGX 410,000: 20% of the amount by which chargeable income exceeds UGX 335,000; 3) Exceeding UGX 410,000 but not exceeding UGX 485,000: UGX 15,000 plus 25% of the amount exceeding UGX 410,000; 4) Exceeding UGX 485,000 but not exceeding UGX 10,000,000: UGX 33,750 plus 30% of the amount exceeding UGX 485,000; 5) Exceeding UGX 10,000,000: UGX 33,750 plus 30% of the amount exceeding UGX 485,000 AND an additional 10% on the amount exceeding UGX 10,000,000."
"What are the revised FY 2026/27 PAYE monthly tax rates for non-resident individuals?","Under the FY 2026/27 non-resident PAYE schedule: 1) Monthly chargeable income not exceeding UGX 335,000: 10%; 2) Exceeding UGX 335,000 but not exceeding UGX 410,000: UGX 33,500 plus 20% of the amount exceeding UGX 335,000; 3) Exceeding UGX 410,000: UGX 48,500 plus 30% of the amount exceeding UGX 410,000 AND an additional 10% on the amount exceeding UGX 10,000,000."
"What transactions are subject to the 6% withholding tax rate in Uganda?","Under URA guidelines: 1) Professional fees (resident payer deducts 6% when paying a resident professional, manager, or qualifying agent); 2) Supply of goods and services by designated withholding agents (Government bodies and designated agents deduct 6% where total payment or contract exceeds UGX 1,000,000); 3) Imports (importer pays 6% WHT on customs value unless exempt); 4) Purchase of a business or business asset from a resident (buyer deducts 6%); 5) Resident public entertainers (promoter/payer deducts 6%); 6) Withholding VAT (designated payer deducts 6% of taxable value; however, no withholding VAT is deducted where a valid EFRIS e-invoice or e-receipt is received)."
"What transactions are subject to the 10% withholding tax rate?","Under URA guidelines, a 10% WHT applies to: 1) Government securities interest with a maturity of 10 years or more; 2) Listed-company dividends paid to a resident individual; 3) Purchase of an asset from a non-resident person (resident buyer deducts 10%); 4) Reinsurance or re-takaful premiums paid to a non-resident reinsurer; 5) Commissions for telecommunication retail services, mobile network services, or mobile money services to a resident individual; 6) Insurance-agent commissions (final tax); 7) Advertising-agent commissions."
"What transactions are subject to the 15% withholding tax rate?","Under URA guidelines, a 15% WHT applies to: 1) Betting or gaming winnings (charged on actual winnings: payout less stake); 2) Payment of interest by financial institutions to resident persons; 3) Payment of dividends to resident shareholders by unlisted companies; 4) International payments and royalties (royalties, rent, ordinary interest, dividends, and management fees to non-residents); 5) Non-resident entertainers and sports persons; 6) Non-resident contractors or professionals providing Uganda-source services."
"What transactions are subject to 20%, 5%, and 2% withholding tax rates?","Under URA guidelines: 1) 20% WHT: Government-security interest with a maturity of not more than 10 years; 2) 5% WHT: Qualifying foreign loan interest paid outside Uganda to a bank/financial institution on widely issued debentures, and non-resident telecommunications, pay-TV, or internet connectivity services (on gross Uganda-source amount); 3) 2% WHT: Non-residents providing shipping, air transport, or telecommunications/road carriage services in Uganda (on gross Uganda-source carriage income)."
"When must withholding tax returns be filed and remitted to URA?","Monthly withholding tax returns and payments must be filed and paid to URA within 15 days after the end of the month in which the payment was made (e.g. WHT deducted in July must be filed and paid by 15th August). For non-resident entertainers and sports persons, tax must be paid within five days after the performance or by the day before the non-resident leaves Uganda, whichever comes first."
"What records must withholding agents keep and what happens upon failure to withhold?","A withholding agent must keep all relevant records (invoices, contracts, payment schedules, receipts, tax credit certificates) for at least five (5) years from the date each record was generated. An agent who fails to deduct or remit withholding tax is personally liable for the unpaid amount under the Tax Procedures Code Act. Tax deducted from another person is held in trust for the Government and must never be used for private debts."
"Where can I download the official URA Withholding Tax guide?","The official URA guide 'A Simplified Guide on WITHHOLDING TAX' (Vol. 2 Issue 5 FY 2026-27, 8 pages) is downloadable at https://ura.go.ug/storage/2026/09/WITHHOLDING-TAX-2026-27.pdf and published at https://ura.go.ug/en/witholding-tax/ and https://ura.go.ug/en/category/tax-education/general-tax-information/witholding-tax/ (authored by Esther Watsemwa)."
"Do amounts under the 1m threshold escape WHT on contracts?","No. If total contract payments exceed UGX 1,000,000, WHT applies to any part payments once aggregated over the threshold."
"Is import WHT always due?","Yes, at 6% on the customs value of imported goods unless the importer holds an official Withholding Tax Exemption Certificate, is an Authorized Economic Operator (AEO), or imports qualifying exempt raw materials or capital goods."
"Do PAYE and WHT returns share the same deadline?","Yes. Both monthly PAYE and WHT returns must be filed and payment remitted to URA by the 15th day of the following month."
