question,answer
"What is EFRIS?","Electronic Fiscal Receipting and Invoicing Solution (EFRIS) is URA’s real-time e-receipting/e-invoicing system using EFDs, e-invoicing, or system-to-system links as per the Tax Procedures Code Act 2014."
"Who must use EFRIS?","It is mandatory for all VAT-registered taxpayers. The Commissioner may gazette additional taxpayers (B2B, B2G, B2C) who must issue e-receipts/e-invoices."
"Is EFRIS optional for non-VAT taxpayers?","Yes, non-VAT taxpayers are encouraged to adopt EFRIS to enjoy the benefits, though not mandated unless gazetted."
"How do I register for EFRIS?","On ura.go.ug → EFRIS → log in with TIN/password → receive OTP → select First time registration → choose e-invoicing and/or EFDs, add business locations → submit for URA approval."
"What do I need to register?","A valid TIN and portal password, access to email/phone to receive OTP, internet connectivity, and (if system-to-system) the ability to set up the API link."
"What is an e-invoice vs an e-receipt?","An e-invoice is issued by a VAT-registered taxpayer; an e-receipt is issued by a non-VAT taxpayer. Both are generated through EFRIS."
"What unique features are on an e-invoice/e-receipt?","They include a fiscal document number, verification code, and QR code for authenticity and validation."
"What devices or channels can I use?","Options include Electronic Fiscal Devices (EFDs), the web portal, desktop/mobile client, or system-to-system API integration."
"What are the benefits of EFRIS?","Faster refund processing, future prefilled returns, reduced penalties from accurate filing, real-time transaction tracking, secure digital storage of tax invoices, and fairer tax assessments."
"How does EFRIS work for offline sales?","The desktop application caches transactions and syncs with URA once back online, ensuring continuous business operation."
"How do I issue an e-invoice?","Log in → Invoices Management → Create Invoice → enter buyer TIN (optional for retail) → select goods/services → specify quantity and price → generate invoice with fiscal document number."
"What is an Electronic Fiscal Device (EFD)?","A certified hardware device with secure fiscal memory, a keypad, display, and printer, used to manage sales and transmit data to URA in real time."
"What is a Sales Data Controller (SDC)?","Software or hardware that validates, signs, and sends transaction data from a Point of Sale (POS) or EFD to the EFRIS system."
"What if my internet connection fails?","EFRIS desktop app allows offline transactions, which are uploaded automatically as soon as internet connectivity is restored."
"How do I correct an error in an issued e-invoice?","Issue a credit note through EFRIS (referencing the original invoice) to cancel or adjust the transaction, as invoices cannot be deleted once issued."
"What is the penalty for not using EFRIS?","Failure to issue e-invoices/e-receipts when required attracts penal tax under the Tax Procedures Code Act 2014, including penalties of double the tax due or statutory fines."
"Can I track my stock or inventory using EFRIS?","Yes, EFRIS has a stock management module to track opening stock, additions, and deductions, supporting accurate inventory monitoring."
"How does EFRIS benefit VAT refund claims?","Because all transactions are verified in real time on URA servers, refund claims supported by genuine e-invoices are audited and processed significantly faster."
"Where can I get technical support for EFRIS?","Contact URA toll-free on 0800 117 000 / 0800 217 000, visit any URA service centre, or access efris.ura.go.ug for user manuals, APIs, and accredited vendors."
"How does system-to-system integration work for EFRIS ERP software?","System-to-system integration connects a taxpayer's Enterprise Resource Planning (ERP), Point of Sale (POS), or accounting software directly to URA EFRIS via secure REST APIs using TLS encryption and digital signature certificates for automated real-time receipt generation."
