question,answer
"What should I do after getting a TIN?","Create a URA portal account, log in with your TIN and default password, change it, and use the account to file returns, amend details, track payments, and other services." 
"Why is a URA portal account important?","It gives notifications on TIN activity, lets you file returns, follow payments, object/appeal, amend details, transfer vehicles, and appoint a clearing agent." 
"What are my core rights as a taxpayer?","Fair and consistent treatment; privacy/confidentiality; clear, timely information; reasons for decisions; timely service; right to object/appeal; to be heard with representation; notice before routine inspections; refunds processed per law." 
"What are my obligations?","Register, file accurate/timely returns and entries, pay correct tax on time, keep accurate records, quote TIN in dealings, avoid evasion/illegality, cooperate with authorized staff, disclose fully, comply with customs/quarantine rules, treat URA staff respectfully." 
"Why keep business records?","To prepare returns (avoid estimated assessments), monitor business/financials, track deductible expenses, and pay fair taxes; retain at least five years." 
"What return types exist?","Provisional (estimate for current year) and final (actual for past year); frequency depends on tax type—weekly (gaming), monthly (PAYE, WHT, VAT, excise, gaming), annual (income tax, partnerships, rental, presumptive)." 
"When are returns and payments due?","Annual: provisional—last day of 3rd month (individual) or 6th month (company) with installments during year; final—within 6 months after year-end. Monthly: PAYE/WHT/VAT/excise/gaming/diplomatic VAT by 15th of following month. Weekly gaming: Wednesday following week. Payment is due same day as filing." 
"Can I get more time to file?","You may apply for an extension (up to 90 days total) with reasons, but payment due dates do not shift—interest still accrues on unpaid tax." 
"What happens if I file or pay late?","Late filing triggers penalties; late payment accrues interest at 2% per month until paid." 
"How can I pay?","Banks, mobile money, USSD *285#, VISA/MasterCard/AmEx/UnionPay, EFT/RTGS/SWIFT, cash, cheque, demand draft, POS." 
"Can I pay in installments?","Yes—apply to URA for permission to pay in installments." 
"What assessments can URA issue?","Estimated/default if you fail to file; advance assessment if there’s risk to collection before due; additional assessments when new info or fraud/gross neglect is found." 
"Can I object to an assessment?","Yes. You may lodge an objection if dissatisfied with an assessment." 
"Can my TIN be deactivated?","Yes, if you temporarily close business (can later reactivate) or if URA finds you no longer meet registration conditions." 
"Where can I get help?","URA portal and Touch Point; toll-free 0800 117 000 / 0800 217 000; WhatsApp 0772 140 000; email services@ura.go.ug; social channels (Facebook, X, TikTok, YouTube) and Taxman blog." 
