question,answer
"What is stamp duty?","A non-tax revenue levied on every instrument listed in Schedule 2 of the Stamp Duty Act (Cap. 339) that is executed or received in Uganda. An instrument is defined as any document by which any right or liability is or purports to be created, transferred, limited, extended, extinguished, or recorded."
"Who pays stamp duty?","Stamp duty is paid by the person drawing, making, or executing (signing) an instrument."
"How is compliance enforced for informal parties?","Public offices that must act on instruments (e.g., the Ministry of Lands, land registries, URSB, banks, and courts) legally require proof of paid stamp duty and valid e-stamp certificates before processing or recognizing documents."
"Who must have stamp duty?","Anyone executing or receiving a Schedule 2 instrument in Uganda is liable under Section 3 of the Stamp Duty Act."
"Do you register for stamp duty?","Persons carrying on the business of financial and insurance services (banks, microfinance institutions, insurance companies) are legally required to register for stamp duty and file monthly returns. Ordinary individuals and companies executing one-off instruments do not need prior registration; they declare and pay when an applicable instrument arises."
"When is stamp duty due?","For instruments executed in Uganda, stamp duty must be declared and paid within forty-five (45) days of execution. For instruments executed outside Uganda, duty must be paid within thirty (30) days upon being received in Uganda."
"Which transactions are exempt?","Exempt instruments include: 1) Instruments executed by the Government; 2) Bilateral and diplomatic institutions listed in the Second Schedule of the VAT and Income Tax Acts; 3) Life insurance and agricultural insurance policies; 4) Shares acquired by private equity or venture capital funds regulated under the Capital Markets Authority Act; 5) Instruments executed for approved Strategic Investment Projects (industrial parks, Free Zones, hotels with USD 8M+ capital, hospitals with USD 5M+ capital, and electric vehicle/battery manufacturing)."
"Does non-payment void the document?","Yes. Non-payment of stamp duty renders an instrument legally invalid and inadmissible as evidence in any court of law in Uganda until the duty and compounding penalties are fully settled."
"Is there a minimum threshold?","No. Stamp duty is chargeable on every dutiable instrument listed in Schedule 2 regardless of transaction value, unless specifically zero-rated (Nil) by statute."
"What are penalties for non-payment and non-filing of monthly stamp duty returns?","Executing an instrument without paying stamp duty attracts criminal fines up to UGX 2,000,000 or up to 6 months imprisonment, or both. For registered financial and insurance institutions, failure to file monthly returns by the 15th of the following month attracts simple interest of 2% of the duty payable per month."
"How do I print a Stamp Duty Certificate on the URA portal?","To print a Stamp Duty Certificate: 1) Submit the original physical instrument to the nearest URA Domestic Taxes office for verification and barcode generation; 2) Go to portal.ura.go.ug > e-Services > Stamp Duty > Print a Stamp Duty Certificate; 3) Enter the 13-digit Payment Registration Number (PRN) or Assessment Number; 4) Complete the CAPTCHA and click View / Print; 5) Print or download the certified e-receipt with digital stamp and barcode."
"How do I generate a duplicate Stamp Duty Certificate?","If you lost your original stamp duty certificate: 1) Ensure you have the Stamp Certificate Number and instrument barcode number from the URA office; 2) Go to portal.ura.go.ug > e-Services > Stamp Duty > Generate Duplicate Stamp Certificate; 3) Enter certificate number and barcode number, click search to generate a PRN for the duplicate fee; 4) Pay in the bank or via mobile money; 5) Return to the portal, input the acknowledgement number and barcode number, and print the certified duplicate certificate."
"How do commercial banks and legal firms issue bulk stamp duty certificates?","Bulk stamp certificate issuance is restricted to banks, microfinance institutions, and insurance companies. To declare: 1) Log in to portal.ura.go.ug > e-Services > Stamp Duty > Issue Bulk Stamp Certificates; 2) Upload a consolidated schedule of instruments with non-individual TINs; 3) File bulk returns by the 15th day of the month following the month to which the duty relates; 4) Pay the consolidated PRN and download batch certificates."
