question,answer
"What is an export of goods?","Taking goods/services from Uganda to a foreign country. Intra-region transfers are within EAC; exports are to destinations outside EAC." 
"How are intra-region (EAC) cargo transfers processed?","Agent files declaration in importing country’s system; once released, it transmits to URA Asycuda; URA issues C2 (Cargo Movement Document); driver moves with C2; border officer performs exit and truck crosses to importing partner state." 
"How are exports outside the EAC processed?","Agent files declaration in exporting country system; once released, it transmits to KRA ICMS; at border URA exits consignment, KRA issues C2 and transits to port where export bond is discharged as cargo loads onto vessel." 
"What are the types of exports?","Permanent exports (remain/consumed abroad); temporary exports (to return after repair/exhibition etc.); re-exports (previously imported goods later exported—e.g., temporary imports, warehoused then exported, or home-consumed then exported)." 
"Why export goods outside Uganda?","VAT/packing material refunds; customs taxes generally not charged on exports (except unprocessed hides/skins, fish, unprocessed tobacco); improves cash flow; note re-export income is taxable and must be declared." 
"Key exporter requirements","Have TIN; label goods “produced for export”; consult UEPB on labeling/buyers/pricing; appoint licensed customs agent; obtain export licence from UEPB; use licensed transporter; declare all transactional docs (invoice, packing list, etc.) in export entry." 
"Entry rules for export cargo","Enter all cargo with full particulars and evidence; export within 30 days of entry or extension by Commissioner; breaches liable to forfeiture (EACCMA)." 
"Which exports can skip a SAD?","Bona fide passenger/crew baggage; goods for sale/delivery to passengers/crew; mail bags/postal articles in transit by post." 
"How is export value determined (FOB)?","Value at port/place of shipment plus charges to deliver on board. If cost unknown: use similar/identical exports at similar time; if still unknown, proper officer determines." 
"How are goods with export levy treated?","Duty stated on export entry; goods cannot be exported until duty paid or secured; discrepancies after exam are an offence and goods forfeitable; export duty not levied on goods grown/produced/manufactured in another Partner State (only subject to that State’s export rules)." 
"Are exports taxed on income?","Income from re-exported goods is taxable and must be declared in returns to avoid penalties/interest." 
"When are export refunds/drawback available?","Refunds for packing materials and VAT on production inputs. For drawback: label goods for export; obtain export licence; compare export entry with import entry; no drawback on damaged/spoilt goods unless accidentally destroyed after loading and abandoned; not allowed on provisional entries—only fully cleared goods with invoice." 
"What are prohibited and restricted exports?","Prohibited: exports banned by law (EACCMA Third Schedule Part A, e.g., narcotics). Restricted: allowed only under conditions (Third Schedule Part B, e.g., scrap metals, charcoal, unprocessed fish, used batteries, timber). Goods on vessels <250 tons cannot include warehoused goods, duty-drawback goods, or transshipments." 
"What about goods in transit/transshipment?","Generally not affected by prohibited/restricted provisions; must be exported within time set by Commissioner." 
"How to handle temporary exports on re-import?","Obtain detailed examined export entry and re-importation certificate (Form P45) at export; on re-import, duty applies on value increase from repairs/additions/processing/other costs abroad. If repair was free under contractual obligation and Commissioner accepts, release without taxes (unless manufacturing defect accounted earlier)."
