question,answer
"What is a customs bonded warehouse?","A customs bonded warehouse means any place approved and licensed by the Commissioner of Customs for the deposit of un-entered, unexamined, abandoned, detained, or seized goods for the security thereof or of the duties due thereon. To clear goods through a bonded warehouse, a client must have an active Taxpayer Identification Number (TIN) and appoint a licensed customs clearing agent."
"Which items are prohibited from being warehoused in customs bonded warehouses?","Under URA customs regulations, the following items may not be warehoused: acids, chalk, ammunitions, explosives, fireworks, dried fish, perishable goods, inflammable products (except petroleum products for storage in approved installations), matches, and any other goods that the Commissioner Customs may gazette."
"What are the various warehousing processes and stages?","Warehousing processes encompass: 1) Cargo Receiving: Barrier officer and bond keeper verify T1 transit document against container seals and truck marks, retrieve T1n in ASYCUDA World, and auto-convert to warehousing regime (IM7); 2) Cargo Management: IM7 passes risk selectivity (Green/Blue auto-release, Yellow processed by DPC, Red allocated for physical verification); 3) Bond Commitment: After entry release, warehouse bond (CB6) is committed and cargo offloaded into bond stores; 4) Examination: Physical inspection, seal verification, and upload of examination findings; 5) Cargo Release & Exit: Clearing agent lodges IM4 home consumption entry or re-export entry, settles taxes via PRN, clears bond, and transaction transmits to EFRIS."
"What are the different types of customs bonded warehouses in Uganda?","The types of customs bonded warehouses are: 1) Public general goods bonded warehouse; 2) Public motor vehicle bonded warehouse (car bond); 3) Private general bonded warehouse; 4) Private motor vehicle bond; and 5) Manufacture-under-bond warehouse facility."
"How long can an importer keep goods in a customs bonded warehouse?","All warehoused goods are allowed a standard period of six (6) months, which may be extended by a further three (3) months upon written permission of the Commissioner Customs (maximum 9 months / 270 days). An extended period of up to two (2) years is allowed for: 1) Wines and spirits in bulk warehoused by licensed manufacturers; 2) Goods stocked in duty-free shops; and 3) New motor vehicles warehoused by authorized vehicle dealers."
"Which goods qualify for provisional release from customs control?","Subject to regulations and written permission of the Commissioner, goods qualifying for provisional release include: goods cleared under Memorandums of Understanding (MOUs) with partial/instalment payment of taxes, motor vehicles and equipment imported for repair, and goods pending further technical clearances by other government agencies (OGAs)."
"What goods qualify for verification at owner's premises and what are the conditions?","Goods that qualify include fragile, bulky, unassembled, or heavy industrial machinery plants. Conditions: 1) Importer must maintain a safe, secure, and sealable store/room; 2) Lodge customs declaration (SCT-PEV or Warehousing Transit WT8); 3) Submit written request to Commissioner Customs upon cargo arrival in the bond; 4) Proper officer confirms nature of goods; 5) Commissioner grants written permission; 6) DPC releases declaration; 7) Importer files IM4 entry, pays initial duties, and cargo departs under customs seal for verification at owner's facility."
"How long does customs verification of goods take in the bonded warehouses?","Unless otherwise specified, average verification turnaround time in bonds ranges between 3 hours and 12 hours for single clients, and 12 hours to 24 hours for groupage (consolidated) cargo within working days."
"What are the enforcement guidelines for the management of licensed customs bonded warehouses (February 2026)?","Issued February 24, 2026 by Kamugisha Kabahweza Allan: 1) Access Control: Implement controlled access logging visitor identity, purpose, and valid ID; staff and visitors must wear reflector jackets at all times; 2) Staff Identification: Loaders and casual workers must have distinct uniforms, unique IDs, photos, and NINs; 3) Accountability under Section 67 EACCMA: Warehouse keepers must produce warehoused goods upon request; unaccounted losses attract duties, penalties, and license revocation; 4) Facilities under Section 64 EACCMA: Maintain functional examination and storage equipment; 5) KPIs inform 2027 license renewals."
"What is the procedure for clearance and removal of overstayed goods in customs warehouses?","Pursuant to Section 42(1) EACCMA 2004, the Commissioner Customs issues a 30-day public notice requiring owners of overstayed (un-customed) goods to pay all requisite taxes, storage fees, penalties, and fines. Goods remaining uncleared after 30 days are advertised and sold by automated public online auction on singlewindow.go.ug/auction on an 'As Is' basis."
"What is the Public Online Auction and how do I participate?","Customs public online auctions dispose of abandoned or uncleared overstayed cargo. Fully automated via the Uganda Electronic Single Window at singlewindow.go.ug/auction. Requirements: 1) Valid URA TIN; 2) 18+ years old; 3) Non-refundable participation fee of USD 10 paid online. Process: 7-day physical inspection at designated bonds (e.g. Nakawa HQ), place bid above reserve price, win notification via email, pay 100% via PRN within 24 to 48 hours, and collect with handover certificate and National ID/Passport on an 'As Is, Where Is' basis."
"What happens if the winning bidder defaults on paying for an auction lot?","If the highest bidder fails to pay 100% of the bid price within the prescribed 24 to 48 hours, the lot is offered to the next highest bidder in succession up to the 6th position. If all eligible bidders fail to pay, the item is reserved for a future auction or private treaty disposal."
"What is a Customs Private Treaty sale and how does it work?","Private Treaty is an alternative disposal method used by URA under EACCMA to sell abandoned, seized, or unsold auction lots (motor vehicles and general merchandise). It features direct price negotiation or controlled online bidding without requiring the USD 10 auction fee (free participation with TIN). Successful buyers must pay 100% of the agreed price via PRN within a specified timeframe, and goods are sold strictly on an 'as is' basis without post-sale warranties."
"What is the Want of Entry list and when is cargo classified under it?","The 'Want of Entry' list comprises imported goods that have arrived at a port, border post, airport, or bonded warehouse but for which customs documentation (Bill of Entry) has not been filed or duties have not been paid within the statutory period of 14 days from arrival. Such cargo is moved to the state warehouse and gazetted for auction if not claimed."
"How can an importer redeem cargo placed on the Want of Entry list?","To redeem cargo on the Want of Entry list, the importer, owner, or licensed clearing agent must lodge a Bill of Entry (IM4) in ASYCUDA World, submit commercial invoices, packing list, bill of lading, and pay all outstanding import duties, taxes, accrued storage charges, and administrative penalties before the expiration of the 30-day public notice."
"Why does URA carry out the Customs online auction?","Uganda Revenue Authority (URA) conducts Customs online auctions to dispose off abandoned, confiscated, or uncleared goods that have overstayed in bonded warehouses and other areas under Customs control. As of 2026, the auction process is fully automated through the Uganda Electronic Single Window (UeSW) platform at singlewindow.go.ug/auction, enhancing efficiency, accountability, and public access."
"What are the eligibility requirements for participation in the online auction?","Eligibility requirements for participating in the URA customs online auction include: 1) Tax Identification Number (TIN): All participants must have a valid TIN registered with URA; 2) Participation Fee: Bidders must pay a non-refundable administrative charge of $10 (USD) via the URA online payment portal; 3) Age & Identity: Participants must be at least 18 years old and hold a National Identity Card (NIN) or Passport; 4) System Registration: Log in to the Uganda Electronic Single Window (UeSW) using URA TIN credentials to access listings and place bids. Note: All URA staff are strictly excluded from participating."
"What are the various auction types?","The two primary disposal types are: 1) Standard Public Online Auction: The primary method for disposing of general merchandise and motor vehicles through competitive automated online bidding; 2) Private Treaty Sale: A faster disposal method applied to goods that remain unsold after previous auctions or items requiring urgent clearance, conducted through controlled online bidding or direct negotiation upon approval of URA Customs management."
"What is the auction process?","The public online auction process has three phases: 1) Requirements & Activation: Possess a valid TIN, be 18+ years old, and pay the non-refundable $10 fee to activate your bidding account; 2) Participation: View advertised items online and inspect them during the 7-day physical inspection period at designated customs bonded warehouses (e.g. Nakawa HQ). Log in to singlewindow.go.ug/auction, select desired Lot, enter bid exceeding reserve price, click 'Add to Cart', and click 'Submit Bid'; 3) Post-Auction: Winning bidders are notified via email, generate a PRN, pay 100% of bid price within 24 to 48 hours, and collect the item with handover certificate and National ID/Passport on an 'As Is, Where Is' basis."
"What are the payment procedures in a customs public online auction?","Winning bidders must pay 100% of the bid price via PRN within 24 to 48 hours of notification (or initial deposit of 25% within 24 hours where specifically prescribed). The winning bidder must also settle applicable taxes, duties, and vehicle registration/licensing fees before collection. If the winning bidder defaults, the lot is offered to the next highest bidder up to the 6th position."
"What do you understand by the statement 'want of entry list'?","A 'Want of Entry' list refers to goods that have arrived at a port, airport, border station, or bonded warehouse but for which the necessary Customs documentation (such as a Bill of Entry) has not been filed, or duties have not been paid, within the statutory period."
