question,answer
"What is DTS?","Digital Tax Stamps are markings with security features and codes applied to gazetted goods/packaging so URA can track and trace production/imports and combat counterfeits." 
"What is the Digital Tracking Solution?","A track-and-trace platform that sends production/importation data for specified products to URA and UNBS in real time; it pairs tax stamps (URA) with conformity stamps (UNBS)." 
"Who must use DTS?","Manufacturers and importers of gazetted excisable products (e.g., spirits, wines, other specified goods) must affix and activate digital tax stamps per URA requirements." 
"How do I register for DTS?","On the URA portal go to e-Services → Digital Tracking Solution → register as importer or manufacturer, then forecast/order stamp quantities and pay the stamp fees." 
"How do I get and affix stamps?","After payment, collect stamps from SICPA Uganda (Henley Business Park, Ntinda) for manual/paper stamping, or receive codes directly to your automated DTS line; authorized staff must present ID and company letter/stamp on pickup." 
"Can importers stamp abroad?","Yes. Importers may stamp at origin or manually at their registered premises in Uganda." 
"Do exports need DTS stamps?","No. Gazetted products for export are exempt from DTS stamping but must carry export evidence (counting, marking for export, certified customs export documents) and must not be sold locally." 
"What are setup requirements for automated manufacturers?","Register for DTS, provide space/power/network for DTS equipment, stamp applicator (for spirits/wines), ejection system, secure server room, broadband with dedicated IP, cabling, and secure storage for spares/consumables." 
"What are requirements for manual producers/importers?","Register for DTS and provide labor to manually affix stamps; ensure stamps are activated after affixing." 
"What are the benefits of DTS?","Track-and-trace through the supply chain, quick reports, improved records, easier VAT refunds/return filing, faster customs clearance for importers, reduced smuggling/counterfeit risk, fair competition, and consumer protection." 
"What are the penalties for non-compliance?","Failure to affix/activate stamps: penal tax = double tax due or UGX 50m (higher). Defacing/printing over a stamp: double tax due or UGX 20m. Possession of unstamped gazetted goods: double tax due or UGX 50m. Unauthorized dealing in stamps: double tax due or UGX 10m." 
"What are key roles for stakeholders?","Manufacturers/importers: install/use DTS on excisable goods. Distributors/stockists: handle only stamped gazetted products. Consumers: buy/consume only stamped goods." 
"Who can help with DTS issues?","URA support: toll-free 0800 117 000 / 0800 217 000 or WhatsApp 0772 140 000."
"How do manufacturers and importers register for DTS on the URA portal?","To register for Digital Tax Stamps (DTS): 1) Log in to portal.ura.go.ug with your active 10-digit TIN and password; 2) Go to e-Services > Digital Tax Stamps > DTS Registration; 3) Select taxpayer category (Local Manufacturer or Importer); 4) Declare production facility locations, number of packaging lines, and estimated monthly volumes; 5) Specify equipment type (automated line applicator or manual stamping area); 6) Submit application; URA and SICPA Uganda inspect premises and configure line-enable within 5 business days."
"How do I order, affix, and activate Digital Tax Stamps on the portal?","To order and activate DTS stamps: 1) Go to portal.ura.go.ug > e-Services > Digital Tax Stamps > Order Stamps, select product type, and pay stamp fees via PRN; 2) Collect physical paper stamp rolls from SICPA Uganda (Henley Business Park, Ntinda) or receive direct marking codes; 3) Affix stamps to product packaging on the line; 4) Before products leave the factory or customs warehouse, scan and activate stamps through the Production Line Controller (PLC) or handheld mobile scanner. Products leaving without activation are treated as unstamped contraband under Section 73B TPCA."
"How do I download manual DTS forms and declare damaged stamps?","To download manual DTS forms: 1) Visit portal.ura.go.ug > e-Services > Digital Tax Stamps > Download Manual Forms; 2) Download the Damaged/Spoiled Stamp Declaration Form or Monthly Physical Stamp Reconciliation Sheet; 3) Enter serial numbers of stamps destroyed during packaging line jams; 4) Attach physical remnants of damaged stamps and deliver to your designated URA excise station for reconciliation."
"Which products are included in the URA DTS Gazetted Item Catalogue?","Under the URA Gazetted Item Catalogue, mandatory Digital Tax Stamps apply to 9 product categories: 1) Beer and malt beverages; 2) Spirits, wines, and ready-to-drink alcoholic beverages; 3) Bottled drinking water; 4) Soda and carbonated non-alcoholic beverages; 5) Tobacco and cigarettes; 6) Cement; 7) Sugar (locally produced or imported); 8) Cooking oil and edible vegetable fats; 9) Fruit and vegetable juices."
"How do consumers and retailers verify if a Digital Tax Stamp is genuine?","Consumers and retailers can verify DTS authenticity free of charge by scanning the stamp with the official URA Kakasa mobile app (available on Google Play Store and Apple App Store). The app displays product brand, manufacturer name, date of stamping, and validity status. If the stamp fails to scan or is invalid, report it to URA via 0800 117 000."
"What are the exact statutory prices per stamp for goods in the DTS Gazetted Item Catalogue?","Under the official URA DTS Gazetted Services Catalogue (download size 401.42 KB at https://ura.go.ug/download-category/dts-gazetted-services-catalogue/), the prices per stamp (VAT exclusive) are: 1) Bottled drinking water: UGX 13; 2) Soda: UGX 17; 3) Fruit and vegetable juices: UGX 17; 4) Other non-alcoholic beverages: UGX 17; 5) Other alcoholic products: UGX 17; 6) Fermented beverages: UGX 35; 7) Beer: UGX 36; 8) Sugar: UGX 39; 9) Cooking oil: UGX 40; 10) Spirits: UGX 60; 11) Wine: UGX 60; 12) Tobacco and cigarettes: UGX 75; 13) Cement: UGX 135; 14) Cement bulker: UGX 60,000. Payment is made via PRN at Stanbic Bank, KCB Bank, GT Bank, or NCBA Bank."
"Where are manual DTS forms downloaded and where are physical stamps picked?","Manual DTS forms—including DT 1019 (DTS & LED Registration Annexure, 2.30 MB) and the DTS Rejects Monitoring Form (55.50 KB)—are downloaded at https://ura.go.ug/download-category/manual-dts-forms/. Physical paper digital stamps are collected from SICPA Uganda Limited, Henley Business Park, Ntinda Industrial Area (Kampala, coordinates 0.340632, 32.616436, near Shell Stretcher Station off Jinja Road). The designated collector must present a National ID or Passport and a company authorization letter/stamp. The official brochure can be downloaded at https://ura.go.ug/storage/2026/09/DIGITAL-TAX-STAMPS-BROCHURE-FY-2026-27-3.pdf."
