question,answer
"Who is an employer and who is an employee?","Employer: person or entity paying remuneration. Employee: individual engaged in employment." 
"What counts as employment?","Position in another’s employment, company directorship, any remunerated position (contract/permanent/part-time), or holding/acting in public office." 
"What amounts comprise employment income?","Wages, salaries, leave pay, overtime, fees, commissions, gratuities, bonuses, allowances (travel, entertainment, utilities, cost of living, housing, medical), employer-paid personal expenses, benefits in kind, termination/change-of-terms payments, insurance premiums paid by tax-exempt employer for employee/dependents, employee share scheme gains (value of shares/options less any consideration), gains on disposal of share options, compensation for restrictive covenants." 
"Which employment gains are exempt/relieved?","Pension; employer-paid medical expenses; life insurance premiums paid by a taxable employer; allowances/reimbursements for official duties; meals/refreshments provided equally to all staff on employer premises; employer retirement-fund contributions (employee’s own contribution is taxable); value of share rights/options granted; Local Service Tax deductible before PAYE; de minimis benefits < UGX 10,000 per month; resident threshold first UGX 235,000/month tax-free; 25% of terminal benefits after ≥10 years’ service; passage costs for non-Ugandan recruited abroad; actual travel/accommodation/meal reimbursements while on duty." 
"What is a benefit in kind?","Any non-cash facilitation tied to employment (past/present/future) provided by employer, employer’s associate, or to an employee/associate. Examples: private use of company car, domestic staff, meals/entertainment, utilities, debt relief, low-interest loans, housing, property provided on non–arm’s-length terms." 
"How is private use of an employer motor vehicle taxed?","Benefit = (20% × market value when first provided × days available for private use ÷ days in year) – any employee payment." 
"How are domestic staff benefits valued?","Taxable benefit equals total pay to housekeeper/gardener/driver/chauffeur provided to the employee minus any employee contribution; security guard provision is not treated as a taxable benefit." 
"How are meal/refreshment and utility benefits valued?","Meals/refreshments/entertainment: cost to employer minus employee contribution. Utilities for residence: cost to employer minus employee contribution." 
"How are low-interest loan benefits valued?","If total loans exceed UGX 1,000,000 and interest is below statutory rate (Bank of Uganda discount rate at year start), benefit = interest at statutory rate minus interest actually paid." 
"What are the monthly PAYE rates for residents?","0–235,000: 0; 235,001–335,000: 10% of excess over 235,000; 335,001–410,000: 10,000 + 20% of excess over 335,000; above 410,000: 25,000 + 30% of excess over 410,000; above 10,000,000: add 10% of the amount exceeding 10,000,000. Non-residents have no 235,000 threshold (add 23,500 at each bracket start)." 
"How are part-time allowances taxed?","Taxed at a flat 30% on gross part-time earnings; employees may file a return of total emoluments to claim any overpaid tax." 
"What are employer obligations for PAYE?","Withhold correct tax when paying liable employees; remit withheld tax by the 15th of the following month; provide accountability per employee monthly; keep records for at least 5 years for URA inspection." 
"What are employee obligations and rights?","If earning from multiple sources, file an annual return declaring all income and taxes paid (PAYE/withholding/provisional). If only one employment fully taxed, no return required. Employees can claim refunds for overpaid tax and are entitled to accountability for taxes deducted and remitted."
