question,answer
"Who must register for Income Tax and get a TIN?","Any person earning taxable income (individuals, companies, NGOs, partnerships) must register; individuals use NIN with ID documents, non-individuals need incorporation/registration documents and director TINs."
"When is VAT registration compulsory?","When taxable turnover exceeds UGX 37.5m in any 3 consecutive months (UGX 150m annual). Apply within 20 days after the three-month period or at the start if future turnover will exceed the threshold."
"Can a business register for VAT voluntarily?","Yes, below the threshold if it has a fixed place of business, proper books, can file reliably, and is fit-and-proper; public bodies doing business must register when they start."
"What are key VAT obligations after registration?","Issue e-invoices, charge 18% on standard-rated supplies (0% for zero-rated, none on exempt), keep records, and file/pay monthly VAT returns within 15 days after month-end."
"How is VAT input tax credited?","Keep original tax invoices (or certified copies) for local purchases and customs documents for imports; claims allowed within 6 months of invoice; only for business use and to support taxable supplies; cash refund only if credit exceeds UGX 10m, else carried forward."
"What is Digital Service Tax?","A 5% tax on gross earnings of non-resident persons providing digital services to customers in Uganda."
"Who must affix Digital Tax Stamps?","Manufacturers/importers of gazetted excisable goods (e.g., alcohol, tobacco, water, soda, sugar, cement, cooking oil, juices) must affix stamps before goods enter the market."
"What is the presumptive (small business) regime?","Resident businesses with annual turnover above UGX 10m and not exceeding UGX 150m (excluding listed professional/utility/entertainment/construction services) pay presumptive tax based on gross turnover instead of formal accounts."
"How is presumptive tax computed?","With records: 0.4% of turnover above UGX 10m up to 30m; 0.5% above 30m up to 50m; 0.6% above 50m up to 80m; 0.7% above 80m up to 150m. Without records: fixed UGX 80k (10–30m), 200k (30–50m), 400k (50–80m), 900k (80–150m). No expense deductions; tax is final."
"What is the corporation tax rate?","30% of chargeable income on resident companies’ worldwide income and non-resident companies’ Ugandan-source income."
"How is rental income taxed?","Individuals: first UGX 2,820,000 exempt, remainder taxed at 12% with no deductions; non-resident individuals 15% on gross. Companies/non-individuals: 30% on chargeable rental income with allowable expenses capped at 50% of gross rental income."
"What are PAYE rates for resident employees?","Monthly brackets: up to 235,000 nil; 235,000–335,000 at 10% of excess over 235,000; 335,000–410,000 at 10,000 + 20% of excess over 335,000; above 410,000 at 25,000 + 30% of excess over 410,000 plus an additional 10% on income above 10,000,000."
"What are PAYE rates for non-resident employees?","Up to 335,000 taxed at 10%; 335,000–410,000 at 33,500 + 20% of excess over 335,000; above 410,000 at 48,500 + 30% of excess over 410,000 plus an additional 10% on income above 10,000,000."
"What are employer obligations for PAYE?","Withhold correctly from liable employees, remit PAYE by the 15th of the following month, account monthly, and keep payroll records for 5 years; failure makes employer personally liable plus interest/penalties."
"What withholding tax (WHT) rates apply to common payments?","6% on resident payments for goods/services over UGX 1m by designated agents; 6% on resident management/professional fees; 15% on payments to non-resident contractors, professionals, entertainers/sportspersons; 15% on dividends/interest/royalties to non-residents; 10% on dividends from listed companies to residents; 10% on commissions to insurance/advertising/telecom/payment agents; 15% on betting winnings."
"When is WHT due and how is it credited?","Agents must remit WHT within 15 days after month-end (or before payee leaves Uganda); unless final, withheld tax is a credit against the payee’s income tax for that year."
"How is import WHT applied?","6% on customs value for most imports unless the importer/supplier is exempt or has WHT relief; rates for customs duties and VAT still apply separately."
"When is rental and income tax filing due?","Individuals: provisional rental return within 3 months from start of year (by 31 Sept), final within 6 months after year-end (by 31 Dec); companies: provisional within 6 months from start (by 31 Dec), final within 6 months after year-end."
"What is the VAT registration penalty for late application?","Double the VAT due from the date registration should have occurred until actual registration."
"How are NGOs and public bodies treated for VAT?","Public bodies engaging in business must register and charge VAT; supplies by employers to employees for no consideration are taxable at fair market value if the employer is a taxable person."
"What is the official URA Taxation Handbook and where can it be downloaded?","The official 'Taxation Handbook: A Guide to Taxation in Uganda' (8th Edition [2025-26], 120 pages, ISBN 978-9970-02-977-8) is published by Uganda Revenue Authority (first published 2011, second 2017) and is available for download at https://ura.go.ug/download-category/taxation-handbook/ (package ID 66867, 8,782+ downloads, 4 MB). It serves as the national reference compendium on direct and indirect taxes, customs administration, and taxpayer rights in Uganda."
"What historical editions of the URA Taxation Handbook are maintained in the archives?","Under the URA Schools Tax Curriculum and General Tax Archives at https://ura.go.ug/download-category/taxation-handbook/, official editions include: 1st Edition (2011, 4 MB), 2nd Edition (2015, 4 MB), 3rd Edition (2020, 4 MB), 4th Edition (2021-22, 4 MB), 5th Edition (2022-23, 3 MB), 6th Edition (2023-24, 16 MB), Chinese Edition (2023-24, 4 MB), 7th Edition (2024-25, 6 MB, 8,265 downloads), 8th Edition (2025-26, 4 MB, 8,782 downloads), and the Tax Amendments FY (2026-2027) compendium (4 MB, 10,242 downloads)."
"What are the core modules covered in the Taxation Handbook 8th Edition?","The 8th Edition covers: Part A: Background & History of Taxation in East Africa; Part B: Income Tax Administration (Small Business Presumptive, Individual, Corporate, Rental, Partnerships, Trusts, Withholding, International Taxation); Part C: Value Added Tax (Registration, Taxable Supplies, Input Credit, Invoicing, Refunds); Part D: Local Excise Duty & Digital Tax Stamps; Part E: Stamp Duty Act; Part F: Customs & International Trade (Valuation, Tariffs, EAC Common External Tariff, Rules of Origin, Warehousing, Single Customs Territory); Part G: Tax Procedures, Audit, Investigations, Dispute Resolution, and Taxpayer Service."
