question,answer
"What is the Foreign Asset Voluntary Disclosure Program (AEOI VDP) under URA?","The Foreign Asset Voluntary Disclosure Program (FAVD / AEOI VDP) was launched by URA on 9th November 2023 at https://ura.go.ug/download-category/foreign-asset-voluntary-disclosure/ and https://ura.go.ug/en/automatic-exchange-of-information/foreign-asset-voluntary-disclosure-faqs/. It provides resident taxpayers (individuals and entities) with undeclared or under-declared offshore financial accounts, foreign assets, or foreign-source income an opportunity to voluntarily regularize their tax affairs under preferential terms before URA commences automated data matching, audits, or criminal investigations under the global Automatic Exchange of Information (AEOI)."
"When did Uganda commence Automatic Exchange of Information (AEOI) and with how many countries?","Uganda commenced annual exchanges of financial account information under AEOI in September 2025 with 125 partner jurisdictions worldwide. This exchange is conducted under the Multilateral Competent Authority Agreement on Automatic Exchange of Financial Account Information (MCAA) and the Convention on Mutual Administrative Assistance in Tax Matters (Implementation) Act 2023, enabling URA to automatically receive bulk offshore account data on Ugandan tax residents."
"Who is eligible to participate in the Foreign Asset Voluntary Disclosure Program?","Any individual, company, partnership, trust, or corporate body resident in Uganda for tax purposes that holds undisclosed income or assets abroad is eligible. Eligible foreign assets include offshore bank deposits, custodial accounts, equity/debt interests in foreign entities, cash-value life insurance contracts, foreign real estate, and foreign-source earnings (such as offshore dividends, interest, royalties, annuities, consulting fees, or overseas employment salaries)."
"What benefits and reliefs are granted to taxpayers who voluntarily disclose foreign assets?","Taxpayers who make a voluntary disclosure prior to audit commencement receive: 1) A 100% full waiver of penal taxes and late-payment interest on the tax liabilities declared for the current and prior years of income; 2) Complete statutory immunity from criminal prosecution for related tax offenses on the disclosed assets; 3) Flexible installment payment terms for the principal tax; 4) Priority case processing at URA. Relief is strictly limited to the assets and incomes declared on the official Foreign Asset Disclosure (FAD) form."
"What is the step-by-step procedure to declare offshore assets under the AEOI VDP?","To make a foreign asset disclosure: 1) Identify all financial accounts, investments, and assets held outside Uganda; 2) Compute total annual deposits and foreign-source incomes for the last three (3) years; 3) Review and amend previous income tax returns via portal.ura.go.ug (or file initial returns if newly registered) and generate a PRN for additional principal tax; 4) Download the official Foreign Asset Disclosure form (FAD Form AEOI Individual Final [80 KB] or Non-Individual Final [96 KB]) from ura.go.ug/download-category/foreign-asset-voluntary-disclosure/; 5) Fill out Sections A (taxpayer details), B (purpose), and C–F (asset and income breakdown); 6) Attach supporting bank statements, property deeds, assessment notices, and PRN payment slips; 7) Submit online via URA Touchpoint (touchpoint.ura.go.ug) under Service Request 'Foreign Asset Disclosure' or hand-deliver to the Commissioner Tax Investigations, 14th Floor, URA Tower, Nakawa."
"Does AEOI and Foreign Asset Disclosure target Ugandans working abroad, such as domestic workers in the UAE?","No. AEOI and Foreign Asset Disclosure reporting is based strictly on tax residency, NOT citizenship. Financial institutions in partner jurisdictions report information only for account holders who are tax residents of Uganda. A Ugandan citizen residing and working full-time in the UAE is not reported to URA unless they have declared a Ugandan tax residency address on their foreign bank account opening documents. Under Section 9 of the Income Tax Act, tax residency requires a permanent home in Uganda or physical presence exceeding 183 days in a 12-month period."
"What are the statutory penalties for failing to disclose offshore assets once discovered by URA?","Where undeclared foreign income is unearthed through AEOI data matching rather than voluntary disclosure: 1) Under Section 17(2)(a) ITA, worldwide income is assessed with full back-taxes; 2) Under Section 67 of the Tax Procedures Code Act, knowingly making false statements or omitting offshore assets carries a criminal fine of up to 5,500 currency points (UGX 110,000,000) or imprisonment for up to ten (10) years, or both; 3) Under Section 8 of the MAAC Implementation Act 2023, penalties include daily default fines of UGX 5,000,000 and institutional fines up to UGX 50,000,000."
"Can a taxpayer claim credit for taxes already paid in a foreign jurisdiction on offshore income?","Yes. Under Section 80 of the Income Tax Act (Cap. 340), resident taxpayers who have suffered foreign tax on offshore income in jurisdictions with or without Double Taxation Agreements are entitled to claim a Foreign Tax Credit against their Ugandan income tax liability, provided the credit does not exceed the Ugandan tax payable on that foreign income."
"What is the AEOI - CRS Reporting Portal and when must financial institutions file?","The AEOI - CRS Reporting Portal is accessible at https://aeoi.go.ug/. Under Section 6(1) of the Convention on Mutual Administrative Assistance in Tax Matters (Implementation) Act 2023, every Reporting Financial Institution in Uganda must submit an annual CRS return providing information on non-resident reportable accounts for the calendar year ending 31st December by the 31st day of May of the following year (or file a Nil return if no reportable accounts exist)."
"Where can taxpayers and financial institutions seek assistance regarding AEOI and FAVD?","Taxpayers and financial institutions can contact the dedicated URA AEOI team via email at aeoi_inquiries@ura.go.ug or telephone at +256 417 442 221, or visit the URA Tax Investigations Department, 14th Floor, URA Tower, Nakawa, Kampala."
