question,answer
"What is a small business for tax purposes?","A small business (presumptive taxpayer) is a resident taxpayer whose gross turnover from all businesses owned in Uganda is between UGX 10,000,000 and UGX 150,000,000 in a year of income. A taxpayer whose gross turnover does not exceed UGX 10,000,000 pays Nil tax on their business income. Turnover refers to total sales in a year."
"What tax applies to small businesses?","Presumptive tax applies under Section 4 of the Income Tax Act. It is a simplified, final tax charged on gross turnover instead of requiring detailed financial statements and accounting audits."
"Who pays this tax?","Owners of resident small businesses operating in Uganda whose annual sales fall between UGX 10 million and UGX 150 million."
"Does every business in that band pay presumptive tax?","No. Professional services such as medical, dental, architectural practice, engineering, accounting, legal, public entertainment, public utility, and construction are specifically excluded by law and must file standard income tax returns."
"Does a small retail shop or grocery with annual sales of 35 million UGX pay standard corporation tax?","No. A small business or retail grocery with gross annual sales between UGX 10,000,000 and UGX 150,000,000 pays presumptive tax under Section 4 of the Income Tax Act rather than standard 30% corporation tax. For annual turnover between UGX 30M and UGX 50M, the simplified presumptive tax is fixed at UGX 200,000 per year without records, or UGX 80,000 plus 0.5% of turnover in excess of UGX 30M where simplified records are kept."
"What are the statutory presumptive tax rates for small businesses with and without records?","Under the URA Small Business Taxpayer Guide FY 2026-27: 1) Gross turnover up to UGX 10M: Nil (with or without records); 2) Exceeds UGX 10M but not UGX 30M: 0.4% of turnover in excess of UGX 10M with records, or fixed UGX 80,000 without records; 3) Exceeds UGX 30M but not UGX 50M: UGX 80,000 plus 0.5% of excess over UGX 30M with records, or fixed UGX 200,000 without records; 4) Exceeds UGX 50M but not UGX 80M: UGX 180,000 plus 0.6% of excess over UGX 50M with records, or fixed UGX 400,000 without records; 5) Exceeds UGX 80M but not UGX 150M: UGX 360,000 plus 0.7% of excess over UGX 80M with records, or fixed UGX 900,000 without records."
"What happens when a small business's turnover exceeds UGX 150 million in a year of income?","Once gross annual turnover exceeds UGX 150,000,000, the business ceases to qualify as a small business (presumptive) taxpayer and is required to register for VAT (if turnover is above UGX 150M), maintain full audited financial statements, and file standard annual income tax returns (paying 30% corporation tax for companies or graduated individual rates for sole proprietors)."
"What are the requirements to register as a small business taxpayer with URA?","To register: 1) Individual: Valid National Identification Number (NIN) from NIRA; 2) Non-Individual (Company/Partnership): Director TINs, Certificate of Incorporation/Registration from URSB, Company Form 7, and Statement of Particulars. The business must be formally registered with URSB."
"How does a small business taxpayer file returns and make payment to URA?","The process of making a presumptive tax payment also serves as the return filing. To file and pay: 1) Visit ura.go.ug and click 'Make a payment'; 2) Under Tax Type, select 'Income Tax for small business' from the dropdown and input your TIN; 3) Fill in taxpayer details and payment amount; 4) Click 'Accept and Register' to generate a 13-digit Payment Registration Number (PRN) slip; 5) Pay using commercial banks, Mobile Money (MTN, Airtel), PayWay, credit/debit card, the Ask URA mobile app, or USSD code *285#."
"Are deductions or tax credits allowed under the small business presumptive regime?","The presumptive tax paid is a final tax on business income. No deductions are allowed for business expenditures or operational losses. Furthermore, no tax credits are permitted to reduce presumptive tax payable, EXCEPT withholding tax (WHT) credits and provisional tax paid on amounts included in the gross annual turnover of the taxpayer."
"Where can I download the official URA Small Business Taxpayer guide?","The official URA brochure 'Small Business (Presumptive) Taxpayers' (Vol. 2 Issue 5 FY 2026-27, 2 pages) is downloadable at https://ura.go.ug/storage/2026/09/Small-Business-Taxpayer-FY-2026-27.pdf and published at https://ura.go.ug/en/taxes-on-small-businesses/."
