question,answer
"What gaming and pool betting activities are covered in Uganda?","National lottery, slot machines, bingo, virtual games, playing cards, casinos." 
"Who are the key players?","Licensed gaming/pool betting promoters (companies) and gamblers (individuals)." 
"How do I register a gaming/pool betting business?","Register with URSB (company), URA (taxes), and local authority (trading licence); comply with National Lotteries and Gaming Regulatory Board requirements." 
"What do I need to register for taxes?","Individuals: National ID or two valid IDs (passport, driving permit, voter’s card, work permit, etc.), certificate of registration if in business, partnership deed if applicable. Non-individuals: Form 20 and certificate of incorporation." 
"How do I register for taxes online?","Use the URA portal (ura.go.ug); choose individual or non-individual registration as applicable." 
"What are my taxpayer rights and obligations?","See URA guidance; know your rights and obligations as a taxpayer (links provided by URA)." 
"What business records must I keep?","Keep records for at least five years: income statement, weekly stake records, payouts and winner IDs, import schedules, bank statements, receipts/invoices, debtors/creditors records." 
"What taxes apply to gaming/pool betting promoters?","Gaming tax: (Total stakes − payouts) × 30% (promoter pays). Betting tax: (Total stakes − payouts) × 20% (promoter pays); payouts attract 15% withholding as final tax withheld from winners. PAYE: register and withhold for employees earning > UGX 235,000/month. WHT: promoters register and withhold on winnings as final tax." 
"How do I file returns?","Submit weekly returns by Wednesday of the following week for gaming/pool betting." 
"How do I pay URA taxes?","After filing, pay via banks, mobile money, cards (Mastercard/VISA), EFT/RTGS, USSD *285#, etc. Payment due date matches return due date; late payment attracts 2% weekly interest on outstanding tax."
