question,answer
"What is stamp duty?","A non-tax revenue on instruments listed in Schedule 2 of the Stamp Duty Act (Cap. 339), payable on documents executed or received in Uganda that create, transfer, limit, extend, extinguish, or record rights or liabilities." 
"Who pays stamp duty?","The person drawing/making/executing (signing) the instrument." 
"How is compliance enforced for informal parties?","Public offices that must act on instruments (e.g., land registrars, URSB) require proof of paid stamp duty before processing; purely private in-house documents are harder to police." 
"Who must have stamp duty?","Anyone executing or receiving a Schedule 2 instrument in Uganda—per Section 3 of the Act, the drawer/maker is liable." 
"Do you register for stamp duty?","No separate registration; you simply declare and pay when an applicable instrument is executed/received." 
"When is stamp duty due?","Within 45 days of executing an instrument in Uganda, or within 30 days of receiving one executed abroad (per Sections 13 and 14)." 
"Which transactions are exempt?","Instruments executed by Government and public international institutions in the Second Schedule of the VAT and Income Tax Acts, plus any instruments specifically exempted by the Minister of Finance." 
"Does non-payment void the document?","No, but the instrument is inadmissible as evidence in commercial courts until duty is paid." 
"Is there a minimum threshold?","No; stamp duty applies to every dutiable instrument regardless of value." 
"What are penalties for non-payment?","Conviction can lead to a UGX 2,000,000 fine or up to 6 months’ imprisonment, or both, for executing an instrument without paying proper duty." 
