id,english,luganda
MRK91,"And he said unto them, Verily I say unto you, That there be some of them that stand here, which shall not taste of death, till they have seen the kingdom of God come with power.",N'abagamba nti Mazima mbagamba nti Ku bano abayimiridde wano waliwo abamu abatalirega ku kufa n'akatono; okutuusa lwe baliraba obwakabaka bwa Katonda nga bujja n'amaanyi.
MRK92,"And after six days Jesus taketh with him Peter, and James, and John, and leadeth them up into an high mountain apart by themselves: and he was transfigured before them.","Awo ennaku omukaaga bwe zaayitawo Yesu n'atwala Peetero ne Yakobo ne Yokaana, n'agenda nabo ku lusozi oluwanvu bokka mu kyama: n'afuusibwa mu maaso gaabwe."
MRK93,"And his raiment became shining, exceeding white as snow; so as no fuller on earth can white them.",Engoye ze ne zaakaayakana ne zitukula nnyo; so nga tewali mwozi ku nsi ayinza okuzitukuza bw'atyo.
MRK94,And there appeared unto them Elias with Moses: and they were talking with Jesus.,Awo Eriya ne Musa ne babalabikira; era baali boogera ne Yesu.
MRK95,"And Peter answered and said to Jesus, Master, it is good for us to be here: and let us make three tabernacles; one for thee, and one for Moses, and one for Elias.","Peetero n'addamu, n'agamba Yesu nti Labbi, kye kirungi ffe okubeera wano; kale tusiisire ensiisira ssatu; emu yiyo, n'emu ya Musa, n'emu ya Eriya."
MRK96,For he wist not what to say; for they were sore afraid.,Kubanga yali tamanyi ky'anaddamu; kubanga baali batidde nnyo.
MRK97,"And there was a cloud that overshadowed them: and a voice came out of the cloud, saying, This is my beloved Son: hear him.",Awo ekire ne kijja ne kibasiikiriza; eddoboozi ne lifuluma mu kire nti Ono ye Mwana wange omwagalwa: mumuwulire.
MRK98,"And suddenly, when they had looked round about, they saw no man any more, save Jesus only with themselves.","Bwe baakebuka amangu ago, ne batalaba muntu nate wabula Yesu yekka nabo."
MRK99,"And as they came down from the mountain, he charged them that they should tell no man what things they had seen, till the Son of man were risen from the dead.","Awo bwe baali bakka ku lusozi, n'abakuutira baleme okubuulirako omuntu bye balabye, okutuusa Omwana w'omuntu lw'alizuukira mu bafu."
MRK910,"And they kept that saying with themselves, questioning one with another what the rising from the dead should mean.",Ne bakyekuuma ekigambo ekyo nga beebuuzaganya bokka nti Okuzuukira mu bafu kuliba kutya?
MRK911,"And they asked him, saying, Why say the scribes that Elias must first come?",Ne bamubuuza nga bagamba nti Abawandiisi boogera nti kigwana Eriya okusooka okujja.
MRK912,"And he answered and told them, Elias verily cometh first, and restoreth all things; and how it is written of the Son of man, that he must suffer many things, and be set at nought.","N'abagamba nti Eriya y'asooka okujja, n'alongoosa byonna: era kyawandiikirwa kitya Omwana w'omuntu okubonyaabonyezebwa ebingi n'okunyoomebwa?"
MRK913,"But I say unto you, That Elias is indeed come, and they have done unto him whatsoever they listed, as it is written of him.","Naye mbagamba nti Eriya yamala okujja, era baamukola buli kye baayagala, nga bwe kyamuwandiikirwa."
MRK914,"And when he came to his disciples, he saw a great multitude about them, and the scribes questioning with them.","Awo bwe baatuuka eri abayigirizwa be, ne balaba ekibiina kinene nga kibeetoolodde, n'abawandiisi nga babasokaasoka."
MRK915,"And straightway all the people, when they beheld him, were greatly amazed, and running to him saluted him.","Amangu ago ekibiina kyonna bwe kyamulaba, ne beewuunya nnyo, ne baddukana gy'ali ne bamulamusa."
MRK916,"And he asked the scribes, What question ye with them?",N'ababuuza nti Mubasokaasoka lwaki?
MRK917,"And one of the multitude answered and said, Master, I have brought unto thee my son, which hath a dumb spirit;","Omu mu kibiina n'amuddamu nti Omuyigiriza, nkuleetedde omwana wange, aliko dayimooni atayogera;"
