question,answer
"Who is eligible to apply for the instalment payment of URA taxes?","Any person who resides in Uganda and has imported a motor vehicle and/or general goods is eligible to apply for instalment payment of URA taxes."
"What are the requirements for an importer or exporter to apply for the instalment payment of taxes?","The requirements to apply for instalment payment of taxes are: 1) A valid Taxpayer Identification Number (TIN); 2) Permanent place of abode or business premises; and 3) Valid National Identification (NIN or Passport)."
"How can someone apply for instalment payment of URA taxes?","The applicant writes a formal letter to Commissioner Customs Department (CCD) requesting instalment payment with copies of: Bill of Lading / Airway Bill, commercial invoice, export certificate, contact telephone, and valid email. The letter is hand-delivered to the Central Records Office (Upper Ground / Reception, URA Tower) for stamping and acknowledgement. All applicants undergo a mandatory compliance review check across all tax heads before processing."
"What happens once an application for instalment payment is accepted by Commissioner Customs?","Once the application passes the compliance review check, CCD writes an acceptance letter to the applicant via email and forwards the file to the Compliance and Business Analysis (CBA) division. The Supervisor Arrears Management notifies the applicant to appoint a licensed Customs Clearing Agent."
"What is a Tax Work Sheet and what does the Customs Clearing Agent do?","A Tax Work Sheet is an official breakdown of the tax details that the applicant is supposed to pay. The appointed clearing agent lodges and submits an online Tax Work Sheet to the Customs Document Processing Centre (DPC) using URA Touch Point, attaching the acceptance letter from Commissioner Customs. DPC computes taxes and forwards the schedule to CBA and the Debt Collection Unit (DCU)."
"What are the requirements to sign an instalment payment Memorandum of Understanding (MOU) with URA?","For Companies: 1) Post-dated cheques; 2) Stamp Duty receipt UGX 30,000; 3) Contact and physical location; 4) Form 7 / partnership deed; 5) Directors' ID copies and passport photos; 6) Company seal/stamp; 7) Witness; 8) For tax liability exceeding UGX 100 Million, deposit additional security (Land Title, Insurance Bond, Bank Guarantee, or Logbook). For Individuals: Post-dated cheques, UGX 30,000 stamp duty receipt, ID copy, photo, guarantor, additional security if exceeding UGX 100M, and original passport kept as security for customs cases."
"What is the legal basis for diplomatic customs refunds in Uganda?","Diplomatic customs refunds are governed by Section 114(1) and the Fifth Schedule Part A of the East African Community Customs Management Act (EACCMA 2004) as amended, and Section 12(i) and (ii) of the Excise Duty Act 2014. Under these provisions, excise duty paid on fuel consumed by entitled diplomatic missions and diplomats is refunded."
"Which diplomatic entities are entitled to customs fuel and excise duty refunds?","Entitled entities are: 1) Diplomats (holders of Diplomatic IDs starting with letter 'D...') and their spouses; 2) Diplomatic Missions or Consular Missions (official use of UN agencies, Commonwealth High Commissions, foreign embassies, consulates under Item 4 of Fifth Schedule EACCMA); 3) Accredited Donor Agencies with bilateral or multilateral agreements with Partner States (under Item 5 & 6 of Fifth Schedule)."
"What are the mandatory supporting documents required for a diplomatic customs refund claim?","Mandatory documents: 1) Customs refund Form C34 authenticated with signature and stamp of the Ministry of Foreign Affairs (MFA); 2) MFA Form 3 authorization (MFA/DP Form 3); 3) Approved MFA list of mission vehicles and equipment authorized for duty-free fuel; 4) Computation worksheet; 5) Fuel receipts/invoices stamped by MFA; 6) Updated claimant TIN and bank details registered with URA Finance Division."
"What is the procedure for managing and clearing fuel refunds for diplomats?","1) Claimant completes Form C34 with supporting documents and submits to Ministry of Foreign Affairs for confirmation; 2) Claim is presented to Supervisor Refunds Unit, Customs Audit Division for face vetting and registered; 3) Refunds audit officer reviews authenticity and computations against claimant figures; 4) Approval is granted according to delegation thresholds and forwarded to AC Finance Division for electronic payment."
