question,answer
"What should I have in place before starting an export?","Register for a TIN, ensure the business is on URA’s system, and secure any sector permits for controlled goods (e.g., agriculture, minerals, wildlife products). Keep a valid sales contract, commercial invoice, and packing list ready."
"Do I need a clearing agent to process exports?","You can self-clear, but most exporters appoint a licensed customs/clearing agent to lodge entries in ASYCUDA World and interface with the Uganda Electronic Single Window. Licensed agents are listed on the URA portal."
"Which system is used to lodge export declarations?","Exports are declared electronically in ASYCUDA World (accessible through the Uganda Electronic Single Window). A Single Administrative Document (SAD) export entry is registered before goods leave."
"Which documents are needed to lodge an export entry?","Typical documents include: commercial invoice, packing list, export contract or purchase order, transport document (BL/AWB/CMR), sector permits for controlled goods, certificate of origin if preferential treatment is sought, and any inspection or quality certificates required by the destination."
"How are exports valued for customs purposes?","Exports are normally valued on a Free on Board (FOB) basis: the price paid for the goods plus costs up to loading on the international transport (local transport, handling, and insurance to the exit point)."
"Are export taxes payable in Uganda?","Most goods are not subject to export duty and are zero-rated for VAT; however, a few commodities attract export levies. Always check the current customs tariff and export-levy list for exceptions."
"What are the key steps to clear goods for export at the border?","(1) Lodge the export SAD in ASYCUDA; (2) pay any applicable fees or levies; (3) present goods and documents for customs verification/scanning if required; (4) obtain release and exit note; (5) the carrier exits with sealed cargo."
"How do I export goods from a bonded warehouse?","Request removal from bond for export, lodge the export SAD referencing the bonded goods, have the bond debited, present goods for customs verification/sealing, then obtain the exit note for movement out of Uganda."
"Do I need a certificate of origin for exports?","It is optional unless the buyer or destination requires it for preferential duty. Obtain the appropriate certificate (e.g., EAC, COMESA, AGOA) from the authorized issuing body and attach it to the export entry."
"How should samples or low-value promotional items be treated?","Declare them as exports in ASYCUDA with their true transaction value (even if sold at nominal value) and indicate the nature of the goods as samples. Customs may waive inspection but requires a proper declaration."
"What should I do if my goods are consolidated with other exporters?","Provide your documents to the consolidator/clearing agent. Each shipper must have a house bill of lading/airwaybill showing the true owner and must lodge an export declaration for their cargo within the consolidated shipment."
"Who can I contact for help with export procedures?","Reach URA through the toll-free lines 0800 117 000 / 0800 217 000, WhatsApp 0772 140 000, or visit a customs office for guidance on export entries, permits, and system access."
"What are the main export products and key export markets of Uganda?","Uganda's primary export products include Coffee, Cement, Tea, Fish and fish products, Oilseeds, Flowers, Fresh Fruits, Vegetables, and Processed Foods. Key export markets include neighboring countries in the East African Community (EAC) such as Kenya, South Sudan, DR Congo, Rwanda, and Tanzania, as well as the European Union, the United States (under AGOA), and Asia. Kenya, South Sudan, and the United Kingdom are among the top destinations."
