"question","answer"
"What is Automatic Exchange of Information (AEOI)?","Systematic yearly exchange of bulk non-resident financial account information between source and residence countries to enhance tax transparency and compliance."
"Legal basis for AEOI in Uganda","Convention on Mutual Administrative Assistance in Tax Matters (Implementation) Act 2023, domestication of the MAAC, the Multilateral Competent Authority Agreement (MCAA), and the Common Reporting Standard (CRS) set reporting and due-diligence obligations."
"Why Automatic Exchange of Information?","Globalisation enables offshore evasion; AEOI increases transparency to detect and deter non-compliance and improve compliance."
"Benefits of AEOI","Timely data on evasion risks; detects previously unknown non-compliance; deters evasion; raises revenue; supports fairness in taxation."
"What financial institutions are covered?","Custodial institutions; depository institutions; investment entities; specified insurance companies."
"What accounts are covered by AEOI?","Custodial accounts; depository accounts; equity or debt interests in investment entities; cash value insurance and annuity contracts."
"What types of information can be exchanged?","Identification (name, address, jurisdiction of residence, TIN, DOB), account number and reporting FI; financial data such as year-end balance/closure, gross interest/dividends/other income, gross proceeds (custodial), gross interest (deposits), cash value or surrender value (insurance), and gross payments for other accounts."
"How is confidentiality and security guaranteed?","Secure point-to-point exchange between FIs and URA; URA to OECD via the Common Transmission System (CTS); stringent confidentiality and data safeguards."
"When must reporting financial institutions report?","Annually for accounts held by non-residents/reportable accounts for the year ending 31 December; submit to URA by 31 May of the following year."
"What if no reportable accounts are found?","File a Nil return after applying due diligence for the calendar year."
"What are pre-existing vs new accounts for due diligence?","Pre-existing account: maintained on or before 31 Dec 2023. New account: opened on/after 1 Jan 2024. Due-diligence rules vary by category."
"Consequences for failing to fulfil reporting obligations","Penalties under Section 8 of the Act: UGX 5,000,000 per day for failure to file; UGX 10,000,000 plus UGX 400,000 per day for failing to maintain due-diligence records; up to UGX 50,000,000 and/or up to 10 years imprisonment for false or misleading returns/self-certifications or omissions."
"How will AEOI information be protected?","Implementation under ISO 27001-style controls: secure networks, monitoring, backups, controlled access, high data-safeguard standards; information shared only with jurisdictions that have AEOI agreements and equivalent security."
"Who are reportable persons for AEOI?","Non-resident individuals or entities (tax resident outside Uganda) with financial accounts in Uganda; FIs collect and send data to URA, which transmits to the relevant tax jurisdictions."
"How will individuals and entities be affected?","FIs must report accounts of reportable persons; Ugandan-only tax residents are not reported externally. Due diligence and self-certification may be requested to confirm residency."
"What is a self-certification?","A declaration of an account holder’s tax residence; knowingly false or misleading self-certifications can attract fines up to UGX 50,000,000 and/or up to 10 years imprisonment."
"Why am I asked to provide tax residency in the self-certification?","Due diligence requirements under the Act compel FIs to identify tax residency of account holders/controlling persons for AEOI reporting."
"Do Ugandan-only tax residents need to provide self-certification for new and pre-existing accounts?","New accounts: self-certification required. Pre-existing accounts: FIs conduct due diligence and may request self-certification if needed or may apply new-account procedures to old accounts."
"What if my tax residency changes?","Notify the FI of changes affecting tax residency and provide an updated self-certification, generally within 30 days of the change."
"How do I know if I am tax resident in another jurisdiction?","Tax residence is defined by each jurisdiction’s laws and can be multiple; paying a tax abroad does not alone create residency. Consult guidance or professional advice; see OECD CRS tax residency resources."
"I am only tax resident in Uganda. Will my information be reported abroad?","No. If you are not tax resident outside Uganda, your account information should not be reported to other jurisdictions under AEOI."
"Joint account where one holder is tax resident abroad; will both be reported?","The joint account is reported (in full, no apportionment) for the holder who is tax resident in the partner jurisdiction; the spouse who is not tax resident abroad is not reported."
"Ugandan resident with property abroad—will the account be reported?","Ownership of foreign property alone does not create tax residency; if not tax resident of that country, the Ugandan account is not reported to that jurisdiction."
"Account held for benefit of spouse not tax resident of Country C—will it be exchanged?","No. The spouse is the account holder/beneficiary and is not tax resident of Country C, so the account is not exchanged to Country C."
"Will URA specify who is a tax resident of each foreign jurisdiction?","No. Each jurisdiction defines its own tax residence. FIs collect self-certifications for new accounts and perform due diligence on pre-existing accounts; self-certification may be requested if status is unclear."
"Definition of Uganda tax resident for AEOI purposes","Resident if: individual has a permanent home in Uganda, or spends ≥183 days in 12 months, or averages >122 days over current and two prior years, or is a government employee posted abroad; company incorporated/managed/major operations in Uganda; trust established/managed or with resident trustee; partnership with any resident partner."
"Why Automatic Exchange of Information (AEOI)?","Globalisation enables offshore investment and tax evasion; AEOI improves transparency and tax compliance by automatically sharing financial account data on non-residents."
"What types of financial institutions are covered by AEOI?","Custodial institutions; Depository institutions; Investment entities; Specified insurance companies."
"What types of accounts are covered by AEOI?","Custodial accounts; Depository accounts; Equity or debt interests in investment entities; Cash value insurance contracts and annuity contracts."
"How is confidentiality and security of exchanges guaranteed?","Uganda must maintain high confidentiality and data safeguards; exchanges use secure point-to-point communications. URA exchanges with the OECD via the Common Transmission System (CTS)."
"When must reporting financial institutions submit information to URA?","Annually for the calendar year ending 31 December, due by 31 May of the following year."
"What if no reportable accounts are found after due diligence?","The reporting financial institution must file a Nil return."
"Pre-existing and new account dates for due diligence","Pre-existing accounts are those maintained as of 31 December 2023. New accounts are those opened on or after 1 January 2024. Due-diligence procedures differ between the two categories."
"Consequences of failing to fulfill reporting obligations","Under the Act, penalties include: UGX 5,000,000 per day for failure to file returns; UGX 10,000,000 plus UGX 400,000 per day for failure to maintain due-diligence records; up to UGX 50,000,000 and/or up to 10 years’ imprisonment for false or misleading statements or omissions related to AEOI returns or self-certifications."
"Who are the reportable persons for AEOI?","Financial institutions in Uganda identify accounts of non-resident individuals or entities (tax-resident outside Uganda), report them to URA, and URA transmits to the relevant tax jurisdiction."
"How are individuals and entities affected by AEOI?","Only reportable (non-Uganda-resident) persons are reported. Purely Uganda-resident taxpayers are not reported. FIs must collect required information via due diligence and self-certifications."
"Why must I provide tax residency in the self-certification?","Due-diligence rules in the Act require FIs to identify the tax residency of account holders and controlling persons for AEOI reporting."
"Do Ugandan-only tax residents need to self-certify?","Yes. For new accounts, self-certification is required. For pre-existing accounts, FIs conduct due diligence and may request self-certification if needed."
"How do I know if I am a tax resident of another jurisdiction?","Tax residence is determined by each jurisdiction’s domestic law; a person may have multiple tax residences. Paying some taxes abroad does not by itself create tax residence. Refer to the OECD CRS tax-residency portal or seek professional advice if unsure."
"Will Ugandan-only residents be reported abroad?","If you are not tax-resident outside Uganda, your accounts should not be reported by FIs to URA for transmission to other jurisdictions."
"Joint account where one holder is tax-resident abroad","If one holder is tax-resident in Country A, the full joint account is reported to Country A under AEOI. The co-holder not tax-resident abroad is not reported."
"Ugandan resident owning property abroad","Owning property or paying related taxes abroad does not alone make you tax-resident there; if you are not tax-resident in that country, your Ugandan account is not reported to it."
"Account held for non-resident spouse but spouse is account holder","Only the beneficiary/account holder’s tax residence matters. If the spouse (account holder) is not tax-resident in Country C, the account is not exchanged to Country C."
"Will URA specify overseas tax residents?","No. Each jurisdiction defines its own tax residence. FIs obtain self-certifications for new accounts and perform due diligence on pre-existing accounts; they may seek self-certification if in doubt."
