question,answer
"Who is eligible for Instant TIN?","Only individuals registered with NIRA who have a valid National Identification Number (NIN)."
"Do I need URA staff approval for an instant TIN?","No. The online form issues a TIN automatically; there is no manual verification or approval in this flow."
"What if I do not have a NIN?","You cannot use Instant TIN. Apply through the standard Individual TIN or Non-Individual TIN registration options instead."
"What information is required to apply?","Your NIN, full name (as on the national ID), title, marital status, source of income, address, email, and mobile number."
"How do I apply for an instant TIN?","Go to ura.go.ug → click Get a TIN → choose Instant TIN → select Individual → enter NIN and personal details → confirm you are not a robot → submit."
"How long does it take to get the TIN?","About five minutes after submitting the instant TIN form."
"How will I receive my TIN?","The TIN is sent to the mobile phone number and email address provided in the form."
"Is there a fee for Instant TIN?","No, applying for an instant TIN is free on the URA portal."
"What should I do if the TIN is not delivered?","Verify the phone/email you entered, check spam/SMS inbox, and retry. If still missing, contact URA support for assistance."
"Who can I contact for help?","Call URA toll-free 0800 117 000 / 0800 217 000 or WhatsApp 0772 140 000 for instant TIN support."
"How do I search or verify a TIN on the URA portal?","To search or verify a TIN: 1) Go to ura.go.ug or portal.ura.go.ug and click e-Services > Search TIN; 2) Choose your search criteria (Search by National ID NIN, Search by Registration Number, or Search by Taxpayer Name); 3) Enter the 14-character NIN or business legal name; 4) Complete the security code and click Search. The portal displays your active 10-digit TIN, legal name, tax station, and registration status."
"Can I find my forgotten TIN using my National ID on the portal?","Yes. On the URA portal (ura.go.ug), navigate to e-Services > Search TIN > Search by National ID (NIN). Enter your 14-character NIN to retrieve your active 10-digit TIN immediately without visiting a URA office."
"How do non-citizens, minors, or refugees apply for an Individual TIN?","Individuals ineligible for Instant TIN apply via e-Services > Taxpayer Registration > Individual on portal.ura.go.ug. Non-citizens attach a valid Passport and Work Permit/Visa; minors attach a Court Guardianship document; refugees attach an OPM Refugee ID; and sole proprietors attach their URSB Business Name Certificate. URA reviews and issues the TIN within 24 to 48 hours."
"What documents are required for non-citizen individual TIN registration?","Non-citizens residing in Uganda require: 1) A valid original Passport (mandatory); 2) Valid Uganda Entry Visa; 3) Valid Work Permit or Special Pass from the Directorate of Citizenship and Immigration Control. Diplomats provide a Diplomatic ID and Letter from the Ministry of Foreign Affairs."
"How do companies, partnerships, or NGOs apply for a Non-Individual TIN?","To register a Non-Individual TIN: 1) Go to portal.ura.go.ug > e-Services > Taxpayer Registration > Non-Individual; 2) Select your legal entity type (Private Company, Partnership, Trust, or NGO); 3) Enter the URSB Registration Number (the system automatically validates company details and Form 20 with URSB); 4) Enter active personal TINs for all company directors, secretary, and signatories; 5) Attach the Certificate of Incorporation and Form 20; 6) Select statutory tax obligations and submit. Approved within 24 to 48 hours."
"Do all company directors need personal TINs before registering a company TIN?","Yes. The URA portal requires all directors, company secretaries, and authorized signatories to have active individual 10-digit TINs before an application for a Non-Individual company TIN can be submitted."
"Who is required to register as a Non-Resident Digital Service Provider?","Foreign non-resident entities providing electronic and digital services to consumers in Uganda (e.g. cloud computing, video/music streaming, SaaS, online advertising, ridesharing, and digital marketplaces such as Netflix, Meta, Google, Uber, Amazon) are required to register for taxes in Uganda."
"How do foreign digital service providers register on the URA portal?","Foreign digital service providers register via portal.ura.go.ug > e-Services > Taxpayer Registration > Non-Resident Digital Services. Enter the foreign legal entity name, country of incorporation, business registration number, designated representative, and corporate email. Registration is conducted online under Section 16(2) of the VAT Act and Section 86A of the Income Tax Act without requiring a physical permanent establishment in Uganda."
"What taxes apply to Non-Resident Digital Service Providers in Uganda?","Non-resident digital service providers are subject to: 1) 5% Digital Services Tax (DST) on gross revenue earned from providing digital services to individuals in Uganda under Section 86A of the Income Tax Act; 2) 18% standard Value Added Tax (VAT) on business-to-consumer (B2C) electronic supplies under Section 16(2) of the VAT Act. Returns are filed quarterly online in USD or UGX."
"What is a Group TIN and who can register for it?","A Group TIN is an umbrella tax registration for unincorporated associations, SACCO groups, joint ventures, consortiums, and village savings associations. It allows multiple individuals or entities to operate a joint bank account and conduct collective tax compliance under one group tax identity."
"How do joint ventures, SACCOs, or associations apply for a Group TIN?","To apply for a Group TIN: 1) Go to portal.ura.go.ug > e-Services > Taxpayer Registration > Group TIN; 2) Nominate a Lead Member or Principal Representative holding an active 10-digit TIN; 3) Enter the association title, bylaws or constitution document, and meeting address; 4) Input the personal TINs and National IDs of all executive committee members; 5) Submit the application for domestic taxes verification."
"How do I reprint or retrieve a submitted TIN application form or acknowledgement receipt?","To reprint a submitted form: 1) Go to portal.ura.go.ug > e-Services > Taxpayer Registration > Print TIN Submitted Forms; 2) Select the application category (Individual, Non-Individual, or Instant TIN); 3) Enter your Application Search Number / Reference Number (sent via SMS/email upon initial submission); 4) Enter the registered email or mobile number; 5) Complete CAPTCHA and click Print to download your completed application PDF and official acknowledgement receipt."
"What is an Application Search Number on the URA portal?","An Application Search Number (or Registration Reference Number) is a unique tracking code generated and sent to your mobile phone and email upon submitting an online registration form. It is used on the portal under 'Print TIN Submitted Forms' to reprint forms, check application status, or upload supplementary documents requested by URA officers."
"How to Check the URA TIN?","To check your URA TIN on the portal: 1) Visit ura.go.ug or portal.ura.go.ug and navigate to e-Services > Search TIN; 2) Choose your search mode (Search by National ID NIN, Search by Registration Number, or Search by Taxpayer Name); 3) Enter your 14-character NIN or registered business legal name; 4) Enter the security code (CAPTCHA) and click Search; 5) The portal immediately displays your active 10-digit TIN, registered legal name, tax office station, and status."
"What is required to search for a TIN?","To search for a TIN on the URA portal, you do not need to log in or pay any fee. You only need one of the following: 1) For Ugandan citizens: 14-character National Identification Number (NIN); 2) For non-citizens: Valid Passport Number or Work Permit; 3) For companies and businesses: Registered Legal Name or URSB Incorporation Number; 4) Correct completion of the on-screen CAPTCHA security code."
"Can I check my TIN status without logging into the portal?","Yes. The 'Search TIN' service on portal.ura.go.ug is publicly available under e-Services. You do not need a password or portal login account to verify whether a TIN is active or check your registered tax office."
