question,answer
"What are capital gains?","Profits from disposing non‑depreciable business assets (e.g., land/buildings), sale of shares, or commercial buildings (excludes trading stock and depreciable assets)." 
"What is a business asset?","Any asset used or held for use in business, held for sale in business, or any asset of a partnership or company." 
"When is there a disposal for capital gains tax?","When an asset is sold, exchanged, redeemed, distributed, gifted, destroyed, lost, or partially disposed." 
"When are capital gains taxed?","In the year of income when the gain or loss is realized." 
"What is a capital loss?","A loss on disposal of non‑depreciable business assets, shares, or commercial buildings." 
"What happens when a capital loss is made?","Capital losses are deductible (allowed against income)." 
"How is a capital gain or loss computed?","Gain/Loss = Disposal proceeds (consideration) – Cost base. Cost base is purchase price plus capital/incidental acquisition costs (including consideration in kind)." 
"Is there a separate capital gains tax law in Uganda?","No. Capital gains are taxed under the Income Tax Act, included with business income (Section 18(1)(a))." 
"How are capital gains for an individual taxed?","Gains on business assets are added to business income and taxed at individual rates; gains on shares or commercial buildings are taxed as property income at applicable rates." 
"How are capital gains for a corporate entity taxed?","Gains on business assets, shares, or commercial buildings are added to gross income and taxed at the standard corporate rate (30%)." 
"How to compute tax when a business asset is sold after 12+ months?","Index the cost base for inflation: Adjusted cost base = CB × CPID / CPIA (CPI at sale month / CPI immediately before acquisition). Taxable gain = Sale price – adjusted cost base; then apply tax rate." 
"Example: sale after 12+ months (land 10,000,000 bought Jun 2022, sold 25,000,000 Aug 2023; CPIA 153.25, CPID 181.67)","Adjusted cost base ≈ 11,854,486; taxable gain ≈ 13,145,514; tax at 30% ≈ 3,943,654 UGX." 
"How to compute tax when sold within 12 months?","No inflation adjustment: gain = sale price – original cost base. Example: 25,000,000 – 10,000,000 = 15,000,000; tax at 30% ≈ 4,500,000 UGX." 
"Which disposals are not recognized (no gain taxed, no loss allowed)?","Transfers between spouses; transfers between former spouses under divorce/separation; involuntary disposals re‑invested in same‑kind asset within one year; transmission to a trustee or beneficiary on death of the taxpayer."
