question,answer
"Are religious institutions taxable?","Core religious receipts (offertories, tithes, fundraising) are exempt from income tax, but business activities, taxable supplies, and imports/exports are taxable and must comply." 
"When is a religious institution exempt?","If its income/assets do not confer private benefit, and it holds an exemption letter from the URA Commissioner General confirming not-for-profit religious purpose." 
"Who governs religious groups nationally?","The Inter-Religious Council of Uganda (affiliated to WCRP/ACRL) brings major denominations together." 
"How do religious-owned businesses get a TIN (non-individual)?","On ura.go.ug: Get a TIN → TIN Registration – Non-Individual → download Excel template, fill mandatory fields, validate, save upload, upload and submit, then print acknowledgement and form; submit signed form, terms, and IDs to URA." 
"How do individuals (e.g., clergy) get an instant TIN?","On ura.go.ug: Get a TIN → Instant TIN Application → apply as Individual with NIN, source of income, address; submit to receive instant TIN and provisional certificate." 
"What are key taxpayer rights?","Fair treatment, privacy/confidentiality, to be informed, to challenge/appeal and seek refunds, representation, and timely service." 
"What are key taxpayer obligations?","Register, file accurate/timely returns, keep records 5+ years, pay taxes, avoid evasion, quote TIN in dealings, update details, be respectful, and use authorized staff/channels." 
"What records should be kept?","Income/receipts, payroll, contracts, bank statements, utility bills, stock records, asset registers, invoices/receipts, debtors/creditors—retain at least 5 years." 
"Which taxes can apply to religious institutions?","Income tax on business income (30% companies; individual rates); rental tax on let property (12% individuals; 30% companies); PAYE on staff pay above UGX 235,000; WHT (e.g., 6% on goods/services to designated agents; 10–15% on specific payments); presumptive tax if turnover 10m–150m and not in excluded professions." 
"What is the presumptive tax scale?","With records: 0.4% (10–30m); 0.5% (30–50m) plus 80k base; 0.6% (50–80m) plus 180k base; 0.7% (80–150m) plus 360k base. Without records: 80k (10–30m), 200k (30–50m), 400k (50–80m), 900k (80–150m)." 
"When must a religious entity register for VAT?","If making taxable supplies and turnover exceeds UGX 37.5m in any 3 consecutive months (UGX 150m annual); must register and use EFRIS, file/pay monthly." 
"How are dividends handled?","Resident companies must withhold 15% on dividends to resident shareholders unless exempt (e.g., listed company 10% rate applies)." 
"What are key return due dates?","Provisional income tax: individuals by last day of 3rd month; companies by last day of 6th month of year. Final income tax: within 6 months after year end. Monthly: WHT/PAYE/VAT/excise/gaming by 15th of following month." 
"How do institutions pay taxes?","After filing, pay via banks, mobile money, EFT/RTGS, VISA/Mastercard, USSD *285#, etc." 
