question,answer
"What are Double Taxation Agreements (DTAs) and where are they hosted on the URA portal?","Double Taxation Agreements (DTAs) are bilateral international tax treaties concluded between Uganda and other sovereign states under Section 88 of the Income Tax Act (Cap. 340). They allocate taxing rights between the residence and source countries, eliminate juridical double taxation of cross-border income, provide reduced withholding tax (WHT) rates on dividends, interest, royalties, and technical/management fees, prevent tax evasion, and establish mechanisms for Exchange of Information (EOI) and Mutual Agreement Procedures (MAP). All active bilateral tax treaties and protocols are hosted under the Legal & Policy section at https://ura.go.ug/en/category/legal-policy/double-taxation-agreements/."
"Who are the Designated and Delegated Competent Authorities for tax matters in Uganda?","Published on August 30, 2023 by Charles Male under Delegated Competent Authorities (https://ura.go.ug/en/delegated-competent-authorities/): 1) Central Competent Authority: Mr. John R. Musinguzi, Commissioner General, URA (Tel: +256-323-442042 / +256-417-442042, Email: jmusinguzi@ura.go.ug, Generic EOI: EOI_GP@ura.go.ug); 2) Authorized Contact Person: Mrs. Agnes Nabwire Asobola, Commissioner Tax Investigations Department (Tel: +256-323-442076 / +256-417-442076, Email: anabwire@ura.go.ug); 3) Authorized Contact Person: Mr. Julius Nkwasire, Assistant Commissioner Intelligence, Tax Investigations Department (Tel: +256-323-443819 / +256-417-443819, Email: jnkwasire@ura.go.ug); 4) Authorized Contact Person: Mr. David Dongo, Manager Exchange of Information, Investigations Department (Tel: +256-417-442221, Email: ddongo@ura.go.ug). All offices are located at URA Headquarters, Plot M193/M194, Nakawa Industrial Area, P. O. Box 7279, Kampala."
"What are the key terms and rates of the India - Uganda Income Tax Treaty (2004)?","Concluded on 30 April 2004, entered into force on 27 August 2004, and effective 1 April 2005 in India and 1 July 2005 in Uganda (published August 25, 2023 at https://ura.go.ug/en/india-uganda-income-tax-treaty-2004/): 1) Permanent Establishment (Article 5): Building sites, construction, or assembly projects constitute a PE if lasting more than six (6) months; 2) Business Profits (Article 7): Taxable only in the residence state unless business is carried on through a PE in the source state; 3) Dividends (Article 10): Withholding tax capped at 10% of gross dividends for beneficial owners; 4) Interest (Article 11): Withholding tax capped at 10%, with full exemption for interest derived by the Government or Central Bank; 5) Royalties and Fees for Technical Services (Article 12): Capped at 10% of gross payments for technical, managerial, or consultancy services; 6) Air & Shipping Transport (Article 8): Taxable exclusively in the country of residence."
"What are the key terms and rates of the South Africa - Uganda Income Tax Treaty (1997)?","Concluded on 27 May 1997, entered into force on 9 April 2001, and effective 1 January 2002 (published August 25, 2023 at https://ura.go.ug/en/south-africa-uganda-income-tax-treaty-1997/): 1) Permanent Establishment (Article 5): Building sites, construction, installation, or assembly projects or supervisory activities constitute a PE if lasting more than six (6) months; 2) Dividends (Article 10): Withholding tax capped at 10% if the beneficial owner is a company holding at least 25% of capital, and 15% in all other cases; 3) Interest (Article 11): Withholding tax capped at 10%, with full exemption for interest derived by the Government or statutory agencies; 4) Royalties (Article 12): Withholding tax capped at 10% of gross royalties; 5) Technical Fees (Article 13): Withholding tax capped at 10% for administrative, technical, managerial, or consultancy services; 6) Capital Gains (Article 14): Gains from immovable property taxed in the source state."
"What are the key terms and rates of the Mauritius - Uganda Income Tax Treaty (2003)?","Concluded on 19 September 2003, entered into force on 21 July 2004, and effective 1 July 2005 (published August 25, 2023 at https://ura.go.ug/en/mauritius-uganda-income-tax-treaty-2003/): 1) Permanent Establishment (Article 5): Building sites or construction projects lasting more than 6 months, and Service PE for consultancy services aggregating more than 4 months within any 12-month period; 2) Dividends (Article 10): Governed under convention provisions; 3) Interest (Article 11): Withholding tax capped at 10%, with exemption for government-owned financial institutions; 4) Royalties (Article 12): Withholding tax capped at 10% on gross royalties; 5) Technical Fees (Article 13): Capped at 10% for technical, managerial, or consultancy services exceeding 6 months in a 12-month period, with an option for the taxpayer to elect net taxation under Article 7."
"What are the key terms and rates of the Denmark - Uganda Income Tax Treaty (2000)?","Concluded on 14 January 2000, entered into force on 8 May 2001, and effective 1 January 2002 (published August 25, 2023 at https://ura.go.ug/en/denmark-uganda-income-tax-treaty-2000/): 1) Permanent Establishment (Article 5): Building sites, construction, assembly, installation projects, or connected supervisory/consultancy activities lasting more than 6 months; 2) Dividends (Article 10): Withholding tax capped at 10% if the company holds directly at least 25% of capital; 15% in all other cases; 0% (exempt) if derived and beneficially owned by the Government, Central Bank, or NSSF; 3) Interest (Article 11): Capped at 10%, with full exemption for Government, Central Bank, and NSSF; 4) Royalties (Article 12): Capped at 10% of gross royalties; 5) Administration & Management Fees (Article 13): Capped at 10% for services performed on a regular basis or for more than 6 months; 6) SAS Aviation Rule (Article 8): Profits from Scandinavian Airlines System taxed in proportion to the Danish partner's share."
"What are the key terms and rates of the Netherlands - Uganda Income Tax Treaty (2004)?","Concluded on 31 August 2004, entered into force on 10 September 2006, and effective 1 November 2006 for withholding taxes, 1 January 2007 in the Netherlands, and 1 July 2007 in Uganda (published August 25, 2023 at https://ura.go.ug/en/netherlands-uganda-income-tax-treaty/): 1) Permanent Establishment (Article 5): Construction projects lasting more than 6 months; Service PE for consultancy services aggregating more than 4 months within any 12-month period; 2) Dividends (Article 10): 0% (tax exempt) if the beneficial owner holds directly at least 50% of the capital for investments made after entry into force; 5% if holding less than 50%; and 15% in all other cases; 3) Interest (Article 11): Capped at 10%, with full exemption for government loans, central bank loans, or commercial bank/public financial institution loans with a maturity of 3 years or more; 4) Royalties (Article 12): Capped at 10%."
"What are the key terms and rates of the Norway - Uganda Income Tax Treaty (1999)?","Concluded on 7 September 1999, entered into force on 16 May 2001, and effective 1 January 2002 (published August 25, 2023 at https://ura.go.ug/en/norway-uganda-income-tax-treaty-1999/): 1) Permanent Establishment (Article 5): Building sites, construction, installation projects, or supervisory/consultancy activities lasting more than 6 months; 2) Dividends (Article 10): Capped at 10% if holding directly at least 25% of capital; 15% in all other cases; 0% (exempt) if derived by Government, Central Bank, Norwegian Government Petroleum Fund, or NSSF; 3) Interest (Article 11): Capped at 10%, with full exemption for Government, Central Bank, Petroleum Fund, Eksportfinans, and NSSF; 4) Royalties (Article 12): Capped at 10%; 5) Administration & Management Fees (Article 13): Capped at 10% for services performed on a regular basis or for more than 6 months; 6) SAS Rule (Article 8): SAS airline profits taxed in proportion to SAS Norge ASA's share."
"What are the key terms and rates of the United Kingdom - Uganda Income Tax Treaty (1992)?","Concluded on 23 December 1992, entered into force on 21 December 1993, and effective 1 January 1994 in Uganda and 1 April / 6 April 1994 in the UK (published August 25, 2023 at https://ura.go.ug/en/uganda-united-kingdom-income-tax-treaty/): 1) Permanent Establishment (Article 5): Building site, construction, or installation project lasting more than 183 days; 2) Dividends (Article 10): Withholding tax capped at 15% of gross dividends; 3) Interest (Article 11): Withholding tax capped at 15%, with exemption for loans derived and beneficially owned by the Government or local authority; 4) Royalties (Article 12): Withholding tax capped at 15%; 5) Technical Fees (Article 13): Capped at 15% for technical, managerial, or consultancy services; 6) Capital Gains (Article 14): Immovable property taxed in the source state."
"How does domestic tax law interact with Double Taxation Agreements under Section 88 of the Income Tax Act?","Under Section 88 of the Income Tax Act (Cap. 340): 1) Treaty Supremacy (Section 88(1)): The terms of an international tax agreement entered into by the Government of Uganda prevail over domestic income tax provisions to the extent of any inconsistency; 2) Limitation on Benefits / Anti-Treaty Shopping (Section 88(5)): Treaty relief (e.g. reduced withholding tax rates or exemptions) is strictly denied if 50% or more of the underlying ownership of the resident entity is held by individuals who are not resident in the treaty partner state, unless the entity is engaged in substantive active business operations in its country of residence; 3) Certificate of Residence Requirement: Non-resident entities claiming DTA relief must submit a certified Certificate of Tax Residence issued by their home country tax authority."
