question,answer
"What are Non-Governmental Organisations (NGOs)?","Not-for-profit organisations independent of government that work for public benefit; funding often comes from donations, grants, and occasionally sales of goods or services." 
"Are NGOs required to register for taxes?","Yes. After registering with the National Bureau for NGOs, they must register with URA and obtain a Tax Identification Number (TIN) per NGO Act Section 29(1)." 
"What are the TIN registration requirements for NGOs?","Certificate of incorporation by guarantee, Company Form 20, NGO certificate, and the NGO constitution." 
"How are NGOs registered for taxes?","Preferably online via the URA portal: download the non-individual TIN Excel template, complete mandatory fields, validate, upload, submit, and print the acknowledgement and form; then submit signed copies with attachments to URA. Offline help is available at URA service centres." 
"What income tax relief is available to NGOs?","Income tax exemption is available to NGOs undertaking charitable, educational, or religious activities whose objective is not for profit." 
"What does it mean for an NGO to have tax-exempt status?","It does not pay corporate income tax on donations and related-purpose income. Only NGOs exclusively pursuing not-for-profit purposes qualify, and exemption is granted after URA approval." 
"What makes an NGO eligible for income tax exemption?","It must be organised and operated solely for charitable, religious, or educational purposes; assets must be dedicated to those purposes in perpetuity; and no income or assets may benefit private persons such as directors or founders." 
"What documents support an application for income tax exemption?","Form DT 1015; certificate of incorporation (company limited by guarantee) and NGO registration; valid NGO permit; memorandum and articles/trust deed/constitution; list of subscribers/trustees with TINs; income tax returns for the prior 3 years; asset list; PAYE returns for last 6 months; tenancy/title; audited accounts for last 3 years; bank statements for last 3 years; confirmation letter from local authority/umbrella body; declaration; and any other relevant evidence." 
"What are the income tax exemption categories?","Charitable purposes (public welfare such as relief of the underprivileged, advancement of religion/education/science, social welfare), educational purposes (registered institutions providing education not for profit), and religious purposes (advancing a faith or belief)." 
"What is the procedure for obtaining income tax exemption status?","Apply online to URA with supporting documents; URA reviews and, if satisfied, issues an exemption certificate. Once issued, the NGO is exempt for income tax but must continue routine filings and can be audited; if denied, its income is taxable." 
"What taxes are applicable to NGOs?","Corporate income tax applies unless an exemption ruling is granted. NGOs designated as withholding agents must withhold 6% on goods/services payments above UGX 1,000,000 and 6% on management/professional fees, remitting within 15 days after month-end. VAT applies on non-exempt goods/services; donations and grants are outside VAT scope; VAT on charitable expenses is not recoverable. PAYE must be withheld on employee earnings above UGX 235,000 per month at resident/non-resident rates and remitted monthly." 
"How is a tax-exempt NGO treated for withholding tax?","An income tax–exempt NGO also qualifies for WHT exemption on payments due to it from supplies to government or WHT agents and is exempt from WHT at importation." 
"Which NGOs are exempted from VAT?","Only NGOs gazetted in the First Schedule of the VAT Act as public international organizations are exempt on all expenditure; other NGOs pay VAT on non-exempt supplies." 
"Can a tax-exempt NGO earn business income without losing exemption?","Yes, but unrelated business income is taxable, and it must not become a substantial part of activities to avoid jeopardizing exempt status." 
"What other tax obligations do NGOs have?","File provisional and final income tax returns regardless of exemption, pay stamp duty on legal instruments, and comply with all general taxpayer obligations (e.g., PAYE, WHT, VAT where applicable)." 
