question,answer
"What is URA’s mandate?","To assess, collect, and account for central government tax and non-tax revenue, and advise government on revenue policy." 
"What is URA’s mission?","Mobilize revenue for national development in a transparent and efficient manner." 
"What is URA’s vision?","A transformational revenue service for Uganda’s economic independence." 
"What is URA’s strategic direction?","Cultivate a taxpaying culture by providing reliable services, developing leadership, and building strategic partnerships." 
"What are URA’s core values?","Patriotism, Integrity, Professionalism." 
"What does Patriotism mean at URA?","Serving the nation with pride and building alliances with citizens who share commitment to Uganda and the agency." 
"What does Integrity mean at URA?","Consistently serving clients with impeccable conduct, transparency, honesty, reliability, and accountability to rules and regulations." 
"What does Professionalism mean at URA?","Executing roles with skill, ethics, courtesy, respect, and agility while avoiding bias and striving for excellence and collaboration." 
"What is URA’s Client Value Proposition?","Simplified, timely, reliable, and convenient revenue services everywhere at minimum cost to the client." 
"How does URA describe its culture?","Service-oriented and transformational; nurtures ethical, professional staff to deliver a delightful client experience in an enabling business environment." 
"Where is URA headquarters located?","Plot M193/M194, Nakawa Industrial Area, P.O. Box 7279, Kampala." 
"How can I contact URA?","Toll-free 0800 117 000 / 0800 217 000; WhatsApp 0772 140 000; email services@ura.go.ug; visit URA offices or the website ura.go.ug."
"What services does URA provide?","URA (Uganda Revenue Authority) is the country's central tax and customs authority. Core services include: taxpayer registration (instant TIN); domestic tax administration -- VAT, PAYE and employment income, corporation tax, rental income tax, capital gains tax, withholding tax, stamp duty, and small-business taxes; customs -- import/export clearance, valuation, and passenger baggage and cargo processing; EFRIS e-invoicing and Digital Tax Stamps; tax exemption and compliance support, including for NGOs and religious institutions; taxpayer education such as the Taxpayer Starter Pack and the annual Taxation Handbook; and online payments and account management through the URA web portal."
