question,answer
"What is rental income?","Total money earned or derived by a person from the rent or lease of immovable property (land and/or buildings) in Uganda for a year of income, with the deduction of any allowable expenditures and losses incurred in respect of the property."
"What is rental income tax?","Rental income tax is a separate tax charged for each year of income on every person who derives rental income from the lease or rent of immovable property in Uganda under Section 5 of the Income Tax Act."
"Who pays rental income tax?","The person who earns rental income from the property—the landlord or landlady (individual, partnership, company, trust, retirement fund, government body, or listed institution) who lets out immovable property to a tenant in exchange for consideration."
"What counts as rented property?","Rented property includes residential houses for rent, commercial shopping complexes and office buildings for rent, godowns and warehouses, and land leased to telecom companies or commercial operators."
"Who can be a landlord/landlady?","Any person letting out immovable property: an individual (e.g. Mathew, Abdul), a company (e.g. Jojy Ltd), a corporate body (e.g. Properties (U) Ltd), local government (e.g. Luwero District Administration), an institution (e.g. Makerere University, UWESO), or a listed institution (e.g. African Development Bank)."
"Who is a tenant?","A tenant is any person who occupies or uses another person's immovable property over an agreed period of time in exchange for rent or other consideration."
"How is rental income treated under tax law?","Rental income is governed by Section 5 of the Income Tax Act and is segregated and taxed separately from other income sources (such as employment or general business income). Deductions or tax credits from general business cannot offset rental tax liability."
"How is rental income tax computed for individuals?","For an individual resident landlord: 1) Determine the total annual gross rental income (R) from all properties; 2) Deduct the statutory tax-free threshold of UGX 2,820,000 to determine chargeable income (Chargeable income = R - UGX 2,820,000) with NO other expense deductions allowed; 3) Calculate tax payable at twelve percent (12%) on the chargeable income. For example, on gross rent of UGX 6,000,000, deduct UGX 2,820,000 to get chargeable income of UGX 3,180,000, yielding rental tax payable of UGX 381,600 (12% of UGX 3,180,000)."
"How is rental income tax computed for partnerships?","Rental tax for a partnership is determined using individual rules to calculate the taxable income from the property, which is then apportioned among partners according to their profit/loss sharing ratio in the partnership deed. For example, if Gross Rent is UGX 6,000,000 shared 2:3 between Partner Arafat and Partner Jane: Arafat's share is UGX 2,400,000 (which is below the UGX 2,820,000 threshold, so tax payable is Nil); Jane's share is UGX 3,600,000, with chargeable income of UGX 780,000 (UGX 3,600,000 - UGX 2,820,000), yielding rental tax of UGX 93,600 (12% of UGX 780,000)."
"How is rental income tax computed for companies, trustees, and retirement funds?","For non-individual taxpayers (companies, trusts, and retirement funds): 1) Determine total gross rental income from all properties; 2) Deduct allowable expenditures and losses incurred on the properties, capped at a maximum of fifty percent (50%) of the annual gross rental income (if actual expenses are below 50%, deduct the actual expenses); 3) Compute rental tax payable at the standard corporation rate of thirty percent (30%) on the net chargeable rental income. For example, on gross rent of UGX 6,000,000 with expenses of UGX 4,100,000, the allowable deduction is capped at 50% (UGX 3,000,000), leaving chargeable income of UGX 3,000,000 and tax payable of UGX 900,000 (30% of UGX 3,000,000)."
"What are the return filing deadlines and compliance obligations for property owners?","Property owners must: 1) Maintain signed tenancy/lease agreements; 2) Issue EFRIS fiscalized e-invoices/e-receipts for all rent payments received; 3) File provisional rental returns within 3 months of the beginning of the financial year for individuals (individuals may also elect to file monthly), and within 6 months for companies; 4) Submit the final annual return online through the URA Web Portal within 6 months after the end of the year of income; 5) Pay rental tax by the statutory due dates."
"What are the statutory penalties for rental income tax non-compliance?","Under URA enforcement guidelines: 1) Late filing penalty: UGX 200,000 per month for the period the return is outstanding or 2% of the tax liability for the period, whichever is higher; 2) Late payment interest: 2% simple interest per month on the unpaid tax liability; 3) Understating provisional tax: 20% penal tax on the difference between tax calculated on 90% of actual tax declared and tax calculated on provisional tax declared; 4) Failure to issue fiscalized e-receipt/invoice (EFRIS): Penal tax of double the tax due on the rental transaction or ten currency points (UGX 200,000), whichever is higher."
"Where can I download the official URA Rental Income Tax guide?","The official URA guide 'RENTAL INCOME TAX' (Vol. 2 Issue 5 FY 2026-27, 4 pages) is downloadable at https://ura.go.ug/storage/2026/09/RENTAL-INCOME-TAX-2026-27.pdf and published at https://ura.go.ug/en/rental-income-tax-4/ and https://ura.go.ug/en/category/tax-education/general-tax-information/rental-income-tax/ (authored by Esther Watsemwa)."
