question,answer
"What is VAT?","An indirect tax on consumption, charged on value added to goods and services at each stage; applies to taxable supplies by a taxable person, imports (non-exempt), and imported services (non-exempt)." 
"What are taxable, standard-rated, zero-rated, and exempt supplies?","Taxable supplies are non-exempt supplies made for consideration. Standard-rated attract 18%; zero-rated attract 0% (e.g., exports, locally made drugs/medicines, and cereals grown and milled in Uganda). Exempt supplies (Third Schedule of the VAT Act) have no VAT and include health/life insurance, educational services, unprocessed foodstuffs and agricultural products, and passenger transport (other than tour operators)." 
"Who must register for VAT?","Anyone making taxable supplies whose turnover exceeds or is expected to exceed UGX 75,000,000 in any three (3) consecutive calendar months (one quarter) or UGX 300,000,000 in any twelve (12) month period. Public authorities carrying on business must register regardless of turnover." 
"Can I register voluntarily?","Yes. A business whose sales do not exceed UGX 75,000,000 for three consecutive calendar months may apply for voluntary registration if it has a fixed place of business, proper records, and is a fit-and-proper person, subject to the Commissioner General's discretion." 
"How is VAT calculated (input vs output)?","Output VAT is VAT you charge on sales; input VAT is VAT you paid on taxable purchases/imports. If output > input, pay the difference to URA; if input > output, the difference is claimable through an offset or a cash refund if the excess exceeds UGX 10,000,000." 
"What if supply value isn’t clear?","Use fair market value of the good or service at the time of supply (e.g. barter trade, gifts, or when a taxable person withdraws business goods for personal use)." 
"What are obligations after VAT registration?","Charge 18% VAT and issue tax invoices; register and use EFRIS to issue e-invoices/e-receipts; file monthly VAT returns within 15 days after month-end (pre-filled via EFRIS); pay any VAT due within 15 days; maintain proper accounting records for at least 5 years." 
"How does EFRIS relate to VAT?","All VAT-registered taxpayers must issue e-invoices/e-receipts through EFRIS so every transaction is fiscalized. EFRIS automatically tracks input VAT tax credits on purchases and output VAT on sales, enabling pre-filled return submissions." 
"What is consideration?","Payment in money or kind (wholly or partly) for a taxable supply, including any duties, levies, fees, and charges paid or payable." 
"Who is a taxable person?","Anyone registered for VAT or required to be registered (individuals, partnerships, trusts, companies, government bodies, listed institutions)." 
"What VAT rate applies to imports and imported services?","VAT applies at 18% to imports of goods (unless exempt under the Fifth Schedule EACCMA) and to imported services deemed supplied in Uganda; the importer/receiver is liable." 
"When are VAT returns and payments due?","Within 15 days after the end of each month for VAT-registered persons via the URA web portal." 
"What happens if I deal only in exempt supplies?","You are not expected or allowed to register for VAT; VAT registration applies only to persons making standard-rated or zero-rated taxable supplies."
"Can an unregistered business charge VAT on its invoices?","No. Under the Value Added Tax Act, only a VAT-registered business can charge VAT or issue tax invoices. An unregistered business cannot charge VAT; doing so is an offence liable to penal tax and prosecution under the Tax Procedures Code Act." 
"What are the statutory VAT registration thresholds in Uganda?","Under Section 7 of the Value Added Tax Act and URA guidelines at https://ura.go.ug/en/value-added-tax-vat/: 1) The compulsory annual registration threshold is UGX 300,000,000 in any twelve-month period; 2) The quarterly threshold is UGX 75,000,000 in any three consecutive calendar months; 3) If taxable turnover exceeds UGX 75,000,000 in three months, the taxpayer must apply within 20 days after the end of that period; 4) If turnover is expected to exceed UGX 75,000,000 in the upcoming quarter, application must be made at the beginning of the period; 5) Public authorities engaging in business must register irrespective of turnover."
"How does EFRIS calculate input VAT, output VAT, and net VAT payable?","In EFRIS, if a trader purchases goods worth UGX 1,000 (excl. VAT) from a VAT-registered supplier, 18% VAT (UGX 180) is charged as input tax credit. When the trader sells the goods at UGX 1,500 (excl. VAT), 18% VAT (UGX 270) is charged as output tax. The net VAT remitted to URA is Output VAT (UGX 270) minus Input VAT (UGX 180) = UGX 90."
"What are the statutory penalties for VAT non-compliance?","Under the Value Added Tax Act: 1) Failure to apply for registration: Double the amount of tax payable during the period until registered; 2) Late filing of VAT return: The greater of UGX 200,000 or interest at 2% compounded per month; 3) Late payment of VAT: Interest at 2% compounded per month on the unpaid balance; 4) Failure to maintain proper records: Double the tax payable for the period; 5) False or misleading statement or omission: Double the excess tax, refund, or claim."
"Where can I download the official URA Value Added Tax guide?","The official booklet 'Value Added Tax (VAT)' (FY 2026-27, 4 pages) is downloadable at https://ura.go.ug/storage/2026/09/VALUE-ADDED-TAX-FY-2026-27ENG-1.pdf and published under Domestic Taxes at https://ura.go.ug/en/value-added-tax-vat/ and https://ura.go.ug/en/category/tax-education/general-tax-information/value-added-tax-vat/ (authored by Esther Watsemwa, July 24, 2024)."
