question,answer
"How do I make a payment on the URA portal?","Steps: 1) Go to ura.go.ug and click Make a payment. 2) Under Generate a payment slip choose “Click here to register a payment.” 3) Enter taxpayer details (TIN, name, district), select tax period and basis of payment. 4) Choose the correct tax head and load periods. 5) Add the period, fill the amount. 6) Complete the payment method captcha, click Accept and Register. 7) A payment registration slip is generated; note the PRN and pay via bank/mobile money or other modes." 
"How do I apply for a Learners/Provisional Driving Permit?","Pay NTR via URA portal (Payment registration → NTR head → fill mandatory fields → accept & register → pay bank). Download permit forms (TR VII) from Domestic taxes > manual forms, attach medical form, submit to Face Technology. Applicant must be 18+; starter classes include A, B, H. Provisional permit valid 3 months and renewable." 
"How do I apply for a Full Permit?","Register and pay NTR via URA portal (payment registration); download TR VII permit form; fill form with required attachments; present stamped bank slip and form to Face Technology for processing." 
"How do I apply for Driving Permit Exchange (foreign permit)?","Register and pay NTR via URA portal (payment registration). Download TR VII form, fill, attach required docs (medical form, work permit/defendant’s pass/ID per status, translation if needed, etc.), submit with stamped payment slip to Face Technology." 
"How do I renew my permit?","Register and pay NTR via URA portal (payment registration). Download Form XII (permit renewal) under permit forms, fill it, attach required docs, submit with stamped bank slip to Face Technology." 
"How do I add a class to my permit (extension)?","Register and pay NTR via URA portal (payment registration). Download TR VII form, fill for extension of classes, attach required docs incl. medical form, submit with stamped payment slip to Face Technology." 
"How do I apply for a duplicate permit?","Register and pay NTR via URA portal (payment registration). Download TR VII form, fill for duplicate, attach required docs (medical form). For lost permits add police statement and newspaper advert; for change of particulars add affidavit/gazette; pay duplicate fees; submit to Face Technology with stamped bank slip." 
"How do I validate motor vehicle details (new registration book)?","Login to ura.go.ug with TIN/password → e-services → Motor vehicle registration → Add vehicle details → fill required pages and submit. Print e-acknowledgment; wait for approval notice via email/portal, then obtain new logbook." 
"How do I apply for duplicate registration books/number plates?","Must have validated vehicle/new logbook. Login with TIN → e-services → Motor Vehicle Registration → Applications → new form → purpose duplicate. Fill pages, attach docs, register payment, print acknowledgment and payment slip, pay at bank, submit to Licensing office for processing." 
"How do I apply for change of ownership (vehicle transfer)?","Requires new logbook in your names. Login → e-services → Motor Vehicle registration → Applications → new form → purpose Change of ownership. Fill mandatory fields, enter buyer’s TIN and reason, attach docs, register payment, print receipt/form/payment slip, pay bank, submit to Licensing office with attachments." 
"How do I re-register a motor vehicle (change plate category)?","Requires new logbook. Login → e-services → Motor Vehicle registration → Applications → new form → purpose Re-Registration; choose new plate category; attach docs; register payment; print acknowledgment/form/payment slip; pay bank; submit to Licensing office with attachments." 
"How do I apply for alteration of particulars on a motor vehicle?","Requires new logbook. Login → e-services → Motor Vehicle registration → Applications → new form → purpose Alteration; select fields to alter; edit vehicle details; attach docs; register payment; print acknowledgment/form/payment slip; pay bank; submit to Licensing office." 
"How do I de-register a motor vehicle?","Requires new logbook. Login → e-services → Motor Vehicle registration → Applications → new form → purpose De-Registration; specify reason; attach docs; register payment; print acknowledgment/form/payment slip; pay bank; submit to Licensing office with attachments." 
