question,answer
"What is passenger baggage?","Accompanied or unaccompanied luggage of a returning resident or a non‑resident arriving from outside Uganda; must be accompanied by the owner or authorized person." 
"What are personal effects?","Articles (new or used) a passenger may need for personal or household use during/after the journey, excluding goods for commercial purposes and subject to limits set by the Commissioner." 
"General conditions for baggage exemptions","Goods must belong to the passenger, be for personal/household use, be accompanied, and in quantities/kinds the customs officer allows under Part B of the 5th Schedule to EACCMA (with stated restrictions)." 
"Which goods are NOT exempt as passenger baggage/personal effects?","Alcoholic beverages, perfumes, spirits, tobacco products (except duty‑free allowances); fabrics in piece; trade goods or goods for sale/disposal; unprocessed foods, agricultural items, live pets (need relevant ministry clearance); all medicaments need NDA/ministry clearance." 
"Duty-free allowances (18+ only)","Spirits ≤1L or wine ≤2L; perfume/toilet water ≤500ml (max 250ml perfume); tobacco products ≤250g total. Excess quantities attract tax regardless of intended use." 
"Bona fide changing residence – what is exempt?","On first arrival/return when changing residence into a Partner State: wearing apparel; personal/household effects previously used; one motor vehicle (not buses/minibuses >13 seats or load trucks >2 tons) owned/used outside a Partner State for ≥12 months (voyage time excluded)." 
"Temporary visit (≤3 months) – what can be exempt?","Non‑consumable goods for personal use to be taken out on departure; consumables and non‑alcoholic beverages in reasonable quantities; applies also to recalled staff of international organizations headquartered in a Partner State." 
"Returning travellers – what is exempt?","Wearing apparel and personal/household effects in prior use; plus goods for personal use valued up to USD 2,000 as accompanied baggage, declared, after being outside Uganda >24 hours." 
"How are passengers cleared (red/green channels)?","At gazetted points (airports, seaports, land borders). Green: nothing to declare within allowances. Red: goods to declare (dutiable/restricted). Present receipts/invoices; misdeclaration is an offence under EACCMA (up to 3 years imprisonment or fine ≤USD 10,000)." 
"Key procedural notes for baggage clearance (PB4 small consignments)","Goods removed must be registered and issued a deposit note; PB4 reference = deposit note; only release to holder of valid deposit note; capture only verified goods; goods by air/bus must clear within 12 hours; PB4 applies where value ≤USD 2,000." 
"Summary of PB4 step flow","Receive goods and issue deposit slip; capture PB4 with verification and documents (ID, invoices, receipts, manifest, origin cert if any); assess taxes using indicative values; client pays; officer confirms payment, releases and supervises loading/hand‑over; generate exit note; update register with entry, taxes, PRN, exit."
