question,answer
"What should I do after getting a TIN?","Create a URA portal account, log in with your TIN and default password, change it, and use the account to file returns, amend details, track payments, and other services."
"Why is a URA portal account important?","It gives notifications on TIN activity, lets you file returns, follow payments, object/appeal, amend details, transfer vehicles, and appoint a clearing agent."
"What are my core rights as a taxpayer?","Fair and consistent treatment; privacy/confidentiality; clear, timely information; reasons for decisions; timely service; right to object/appeal; to be heard with representation; notice before routine inspections; refunds processed per law."
"What are my obligations?","Register, file accurate/timely returns and entries, pay correct tax on time, keep accurate records, quote TIN in dealings, avoid evasion/illegality, cooperate with authorized staff, disclose fully, comply with customs/quarantine rules, treat URA staff respectfully."
"Why keep business records?","To prepare returns (avoid estimated assessments), monitor business/financials, track deductible expenses, and pay fair taxes; retain at least five years."
"What return types exist?","Provisional (estimate for current year) and final (actual for past year); frequency depends on tax type—weekly (gaming), monthly (PAYE, WHT, VAT, excise, gaming), annual (income tax, partnerships, rental, presumptive)."
"When are returns and payments due?","Annual: provisional—last day of 3rd month (individual) or 6th month (company) with installments during year; final—within 6 months after year-end. Monthly: PAYE/WHT/VAT/excise/gaming/diplomatic VAT by 15th of following month. Weekly gaming: Wednesday following week. Payment is due same day as filing."
"Can I get more time to file?","You may apply for an extension (up to 90 days total) with reasons, but payment due dates do not shift—interest still accrues on unpaid tax."
"What happens if I file or pay late?","Late filing triggers penalties; late payment accrues interest at 2% per month until paid."
"How can I pay?","Banks, mobile money, USSD *285#, VISA/MasterCard/AmEx/UnionPay, EFT/RTGS/SWIFT, cash, cheque, demand draft, POS."
"Can I pay in installments?","Yes—apply to URA for permission to pay in installments."
"What assessments can URA issue?","Estimated/default if you fail to file; advance assessment if there’s risk to collection before due; additional assessments when new info or fraud/gross neglect is found."
"Can I object to an assessment?","Yes. You may lodge an objection if dissatisfied with an assessment."
"Can my TIN be deactivated?","Yes, if you temporarily close business (can later reactivate) or if URA finds you no longer meet registration conditions."
"Where can I get help?","URA portal and Touch Point; toll-free 0800 117 000 / 0800 217 000; WhatsApp 0772 140 000; email services@ura.go.ug; social channels (Facebook, X, TikTok, YouTube) and Taxman blog."
"How do I apply for a Tax Clearance Certificate (TCC) on the URA portal?","To apply for a Tax Clearance Certificate (TCC): 1) Log in to your e-Tax portal account at ura.go.ug; 2) Go to Tax Clearance > Apply for Tax Clearance Certificate; 3) Select the purpose of the TCC (e.g. government tender/bidding, immigration/work permit, license renewal, or vehicle transfer); 4) Ensure all tax returns are filed up-to-date and all assessed liabilities are fully paid (or covered by an active instalment agreement); 5) Submit the online application. If compliant, the TCC certificate is issued electronically within 24 to 48 hours."
"How do I reset my URA web portal password or recover a locked account?","To reset a forgotten password: 1) Go to ura.go.ug and click Login; 2) Click on 'Forgot Password'; 3) Enter your 10-digit TIN and registered email or phone number; 4) A One-Time Password (OTP) or secure password reset link will be sent to your registered email and SMS; 5) Enter the OTP, set a new password (minimum 8 characters including uppercase, number, and special character), and confirm. If your registered contacts changed, visit any URA service centre with your original National ID."
"How do I update my registered email address or phone number on my TIN?","To update your TIN contact details: 1) Log in to your URA web account at ura.go.ug; 2) Go to Registration > Amend Registration > Individual (or Non-Individual); 3) Navigate to the Contact Details tab, update your mobile phone number or email address; 4) Validate the change via OTP sent to the new contact and upload a copy of your National ID; 5) Submit the amendment. Once approved, your TIN profile updates instantly."
"How do I cancel or deregister a TIN when closing a business?","To cancel a TIN under Section 19 of the Tax Procedures Code Act: 1) Log in to the URA portal and submit a formal TIN Cancellation Application; 2) File final returns for all registered tax heads (Income Tax, VAT, PAYE); 3) Settle all outstanding tax liabilities, interest, and penalties; 4) Surrender all unused EFRIS receipt/invoicing credentials and DTS devices; 5) Provide certificate of company dissolution or deregistration from URSB; 6) URA will conduct a deregistration audit and issue an official TIN Cancellation Notice."
"How does the URA Kakasa mobile app work for verifying receipts and stamps?","URA Kakasa is an official mobile verification app available free on Google Play Store and Apple App Store. Consumers and businesses use it to: 1) Scan QR codes on EFRIS electronic receipts or tax invoices to confirm if the transaction was genuinely registered with URA; 2) Scan Digital Tax Stamps (DTS) on beverages, tobacco, spirits, and cement to detect counterfeit goods and verify tax compliance; 3) Report unverified products or non-compliant traders directly to URA."
"What tax relief is available for Persons with Disabilities (PWDs) in Uganda?","Under Section 21(1)(v) of the Income Tax Act, employment income earned by a Person with a Disability (PWD) is exempt from PAYE on the first UGX 1,460,000 per month (UGX 17,520,000 annually). To qualify, the taxpayer must obtain a PWD confirmation letter from the National Council for Persons with Disabilities and submit it to URA for tax exemption profiling."
"What is the duty-free passenger baggage allowance for travelers at Entebbe Airport?","Under the Fifth Schedule of the East African Community Customs Management Act (EACCMA), bona fide international travelers arriving in Uganda are entitled to import personal effects and unused accompanied general goods not exceeding USD 500 in customs value free of import duty and VAT, provided the items are not for commercial resale. Items exceeding USD 500 or in commercial quantities must be declared on a Passenger Baggage Declaration."
"How does the Voluntary Disclosure program work under Section 66 of the Tax Procedures Code Act?","Under Section 66 of the Tax Procedures Code Act, any taxpayer who voluntarily discloses tax liabilities or unpaid taxes before URA initiates an audit, investigation, or compliance notice is entitled to 100% waiver of penal taxes and late payment interest. The taxpayer is only required to pay the principal tax due, either in a lump sum or through an approved instalment payment agreement."
"How does Alternative Dispute Resolution (ADR) work in resolving tax disputes with URA?","Alternative Dispute Resolution (ADR) is a voluntary, collaborative, and confidential mechanism for resolving tax disputes between taxpayers and URA outside of formal courts or the Tax Appeals Tribunal (TAT). Guided by the URA ADR Framework, an independent URA ADR facilitator helps both parties examine facts, reconcile assessments, and sign a binding settlement agreement within 90 days, saving legal costs and court delays."
"Where can I download the official URA Taxpayer Starter Pack booklet?","The official URA Taxpayer Starter Pack (16-page guide, 6 MB PDF) is published and downloadable under the Tax Education and General Tax Information Archives at https://ura.go.ug/download-category/taxpayer-registration-starter-pack/ (package ID 62580, 346+ downloads). It provides comprehensive onboarding for newly registered taxpayers, covering account setup, rights, obligations, return calendars, payment modes, and regional office contacts."
